sku,weight (kg),depth (cm), length (cm),width (cm),height (cm)
JH295A,3.66,16,,44,4.4
JH019A,3.3,23.8,,44,4.4
JH018A,2.9,23.8,,44,4.4
JH017A,2.2,17.3,,44,4.4
J9984A,4.4,32.260000000000005,,44.25,4.39
J9983A,3.31,24.61,,44.25,4.39
J9982A,0.91,15.95,,25.4,4.39
J9981A,3.31,24.61,,44.25,4.39
J9980A,2.72,24.61,,44.25,4.39
JG963A,7,42,,44,4.4
JG961A,5,36,,44,4.4
JG960A,3,16,,43.6,4.4
J9772A,4.72,32.260000000000005,,44.3,4.45
J9773A,3.95,33.019999999999996,,44.3,4.45
J9775A,3.08,25.4,,44.3,4.45
J9776A,2.77,25.4,,44.3,4.45
J9778A,4.58,32.260000000000005,,44.2,4.45
J9782A,2.59,24.64,,44.2,4.45
J9774A,1,15.95,,25.4,4.45
J9780A,0.91,15.95,,25.4,4.45
J9777A,,6.3,,10,1.8
J9781A,2.86,24.64,,44.2,4.45
J9779A,3.81,32.260000000000005,,44.2,4.45
JL258A,,10,,10,1.7
JL259A,2.41,20.02,,44.25,4.39
JL261A,3.9,30.419999999999998,,44.25,4.39
JL253A,,7.9,,17.4,1.7
JL256A,4.46,30.419999999999998,,44.25,4.39
JL260A,3.1,24.630000000000003,,44.25,4.39
JL254A,3.1,24.630000000000003,,44.25,4.39
JL075A,,17,,17.4,1.7
JL071A,,17,,17.4,1.7
JL354A,,7.9,,17.4,1.7
JL356A,3.9,30.419999999999998,,44.25,4.39
JL081A,0.1996,,,,
JL320A,4.5,,,44.25,4.39
JL321A,4.6,32.43,,44.25,4.39
JL323A,,12.8,,17.4,1.7
JL324A,,12.8,,17.4,1.7
J9821A,,17.8,,17.5,6.9
JL003A,12.8,45.089999999999996,,44.45,17.53
JC100B,6,36.45,,44,4.36
JY720A,18,6.26,,8.82,3.07
JY712A,11.3,1.97,,6.1,3.74
JZ320A,,,,5,
JX945A,16.2,6.5,,6.5,1.5
JW797A,,7.1,,7.2,1.9
JW811A,30,8.58,,8.78,2.17
JW823A,,8.8,,8.9,2
JW801A,1.15212368,8.82,,8.86,2.05
JW186A,33.5,7.99,,7.99,2.24
JZ172A,2.39950168,9.45,,9.06,10.6
JY678A,10.9,5.91,,1.57,3.39
JX973A,28.7,6.5,,6.5,4.33
JX966A,,6.5,,6.5,4.3
JX939A,16.2,6.5,,6.5,1.5
JW325A,1.35170416,26.416,,31.496000000000002,9.906
SMV2000CAI,26.9,60.1,,32.6,41.05
SMV3000CAI,0.0252,,,,
BH500INET,7.42,,2.44,,
BK650EI,,11,,4,7
BX1400UI,12,,,,
BR550GI,,12.2,,3.6,7.6
BR1200GI,13.2,48.8,,23.8,38.7
BR1500GI,13.4,,,,
SRV1KI,9.3,28.8,,14.5,22.3
SRV2KI,18.1,,355,235,525
SC420I,10.2,50.8,,26.2,31.8
SURT1000RMXLI,27.8,59.4,,63,28.6
SRT8KXLI,126.8,100,,60,46.1
SC450RMI1U,11.7,58.9,,47.6,16.4
SC620I,13.2,50.8,,26.2,31.8
SMT750RMI2UNC,17.24,,,,
SUA750RMI1U,25.4,77.5,,55.9,19.1
SMT750IC,,,1.83,,
SMX750I,26.5,62,1.83,58.9,24.6
SMC1000I,,17.3,,6.7,8.5
SMC1000I-2UC,20.52,,,,
SMT1000RMI2UC,31.4,60.3,,59.4,25.1
SMX1000I,27.3,62,1.83,58.9,24.6
SMX1500RMI2U,30,49,1.83,43.2,8.9
SMT1500RMI1U,29.1,79.4,2.44,57.5,20
SMC1500IC,24.1,43.9,,17.1,21.9
SMT1500RMI2UC,28.6,47.7,,43.2,8.6
SMT1500RMI2UNC,31.8,60.3,,59.4,25.1
SMT1500IC,,,1.83,,
SMC1500I-2UC,31.9,60.3,,59.4,25.1
SMT2200RMI2UNC,49.6,98,,60,25.4
SMT2200RMI2UC,,,2,,
SMX2200RMHV2U,,26.3,,17,2
SMX2200HVNC,47.6,63.3,2,58.6,33
SMT2200IC,61.9,76.2,,38.1,69.9
SMX3000HVNC,,,2.44,,
SMT3000RMI2UNC,,26.9,,18.9,2
SMX3000HV,,,1.83,,
SMT3000IC,,,1.83,,
SUM3000RMXLI2U,47,,3,,
SMX3000RMHV2U,,26.3,,17,2
SMX3000RMHV2UNC,,26.3,,17,2
SMT3000RMI2UC,,,2,,
SRT1000RMXLI,,,1.5,,
SRT1000XLI,,,1.83,,
SRT1000RMXLI-NC,,,1.5,,
SRT1500XLI,,,1.83,,
SRT1500RMXLI,29.6,74.9,1.83,59.4,24.6
SRT2200RMXLI,34,81,2.44,59.9,24.6
SRT2200XLI,30.8,81,2.44,59.9,24.6
SRT3000XLI,,,2.44,,
SRT3000RMXLI,,,2.44,,
SRT3000XLW-IEC,,25,,3.3,17
SRT3000RMXLW-IEC,39.9,87.1,2.44,59.9,24.6
SRT5KRMXLW-HW,,28.3,,17,3
SRT5KXLI,63.6,96,,61,33
SRT6KXLI,67,96,,61,37
SRT6KRMXLI,67,96,,61,37
SRT8KRMXLI,130,100,,60,46.1
SRT10KXLI,126.8,100,,60,46.1
SRT10KRMXLI,130,100,,60,46.1
SYA12K16RMI,290,,,,
SRT192BP2,,26.9,,5.1,17
SMT1500RMI2U,28.6,45.7,,43.2,8.6
BR700G,,12.2,,3.6,7.5
BR900G-GR,12.4,33.7,1.83,22.5,48.7
SMT3000RMI2U,51.7,98,2,60,25.4
SUA750IX38,14.6,,,,
BR1500G-GR,13.8,49,1.83,23.5,39
SMT750RMI2U,,16,,17,2
BK350,5.67,,1.8,,
BR1200G-GR,13,38.2,1.83,11.2,30.1
MV9A2B/A,1.37,21.240000000000002,,30.410000000000004,1.49
MUHN2B/A,1.37,21.240000000000002,,30.410000000000004,1.49
MUHP2B/A,1.37,21.240000000000002,,30.410000000000004,1.49
MUHQ2B/A,1.37,21.240000000000002,,30.410000000000004,1.49
20M9001KUK,2.45,25.23,,37.739999999999995,2.94
20N20009UK,1.55,22.7,,32.9,1.7899999999999998
20NN0026UK,1.29,21.9,,31.04,1.59
20NX002QUK,1.27,22.580000000000002,,32.9,1.61
20NX002SUK,1.27,,,,
20Q0003VUK,1.29,,,,
20QD00KNUK,1.09,21.71,,32.35,1.49
20QD00KSUK,1.09,21.71,,32.35,1.49
20QD00L1UK,1.09,21.71,,32.35,1.49
20QJ000CUK,1.25,22.580000000000002,,32.88,1.61
20QV00BRUK,1.7,24.57,,36.18,1.8399999999999999
20RW0002UK,1.8,24.5,,36.5,1.89
81HQ00L1UK,1.55,24.7,,34.3,2.0300000000000002
81M9000YUK,1.31,20.4,,29,2.09
81MD003EUK,1.14,18.6,,24.9,1.8
81MD003SUK,1.14,18.6,,24.9,1.8
81MD003TUK,1.14,18.6,,24.9,1.8
1RQ68ET#ABU,1.64,,,,
2RS31EA#UUW,1.63,23.8,,33.6,2
Y8Q64ET,1.48,23.7,,33.8,1.89
7KP76ET#ABU,2.18,25.7,,37.7,2.3899999999999997
1TT17EA#ABU,1.4,20.8,,30.6,1.95
Z2W63EA,1.28,,,,
Z2Y97EA#ABU,1.19,20.5,,28.6,1.8399999999999999
5TJ82ET#ABU,2,25.689999999999998,,36.489999999999995,1.9
6BP67EA#ABU,1.61,22.7,,32.55,1.6
3DN41EA#ABU,1.29,20.81,,30,1.8
6XE62EA#ABU,1.33,22.93,,31.04,1.77
6XE59EA#ABU,1.33,22.93,,31.04,1.77
7KP75ET#ABU,1.73,24,,34,2.09
6XD58EA#ABU,1.78,25.169999999999998,,37,1.8199999999999998
7YL38EA#ABU,1.27,20.5,,30.580000000000002,1.58
MRT32B/A,5.6,17.5,,52.8,45
MRT42B/A,5.6,17.5,,52.8,45
MRQY2B/A,9.42,20.3,,65,51.6
MRR02B/A,9.42,20.3,,65,51.6
MXNF2B/A,1.3,19.7,,19.7,3.6
MWTK2B/A,1.27,,,,
MXK62B/A,1.4,21.240000000000002,,30.410000000000004,1.56
MXK72B/A,1.4,21.240000000000002,,30.410000000000004,1.56
MWP42B/A,1.4,21.240000000000002,,30.410000000000004,1.56
MWP72B/A,1.4,21.240000000000002,,30.410000000000004,1.56
MWP52B/A,1.4,21.240000000000002,,30.410000000000004,1.56
MWP82B/A,1.4,21.240000000000002,,30.410000000000004,1.56
MVVJ2B/A,2,24.59,,35.79,1.6199999999999999
MVVM2B/A,2,24.59,,35.79,1.6199999999999999
MQ2Y2B/A,9.7,20.3,,65,51.6
MWPF2B/A,,2.7,2,71.8,41.2
MY2H2B/A,0.641,0.5900000000000001,,21.490000000000002,28.060000000000002
MY2J2B/A,0.641,0.5900000000000001,,21.490000000000002,28.060000000000002
MXAU2B/A,0.641,0.5900000000000001,,21.490000000000002,28.060000000000002
MXAV2B/A,0.641,0.5900000000000001,,21.490000000000002,28.060000000000002
MXAW2B/A,0.641,0.5900000000000001,,21.490000000000002,28.060000000000002
MXAX2B/A,0.641,0.5900000000000001,,21.490000000000002,28.060000000000002
MXAY2B/A,0.641,0.5900000000000001,,21.490000000000002,28.060000000000002
MY3D2B/A,0.643,0.5900000000000001,,21.490000000000002,28.060000000000002
MXF52B/A,0.643,0.5900000000000001,,21.490000000000002,28.060000000000002
MXF62B/A,0.643,0.5900000000000001,,21.490000000000002,28.060000000000002
MXF72B/A,0.643,0.5900000000000001,,21.490000000000002,28.060000000000002
MXF82B/A,0.643,0.5900000000000001,,21.490000000000002,28.060000000000002
MXF92B/A,0.643,0.5900000000000001,,21.490000000000002,28.060000000000002
MXFA2B/A,0.643,0.5900000000000001,,21.490000000000002,28.060000000000002
MY232B/A,0.471,0.5900000000000001,,17.85,24.759999999999998
MY252B/A,0.471,0.5900000000000001,,17.85,24.759999999999998
MXDC2B/A,0.471,0.5900000000000001,,17.85,24.759999999999998
MXDD2B/A,0.471,0.5900000000000001,,17.85,24.759999999999998
MXDE2B/A,0.471,0.5900000000000001,,17.85,24.759999999999998
MXDF2B/A,0.471,0.5900000000000001,,17.85,24.759999999999998
MXDG2B/A,0.471,0.5900000000000001,,17.85,24.759999999999998
MXDH2B/A,0.471,0.5900000000000001,,17.85,24.759999999999998
MY2V2B/A,0.473,0.5900000000000001,,17.85,24.759999999999998
MY2W2B/A,0.473,0.5900000000000001,,17.85,24.759999999999998
MXE42B/A,0.473,0.5900000000000001,,17.85,24.759999999999998
MXE52B/A,0.473,0.5900000000000001,,17.85,24.759999999999998
MXE62B/A,0.473,0.5900000000000001,,17.85,24.759999999999998
MXE72B/A,0.473,0.5900000000000001,,17.85,24.759999999999998
MXE82B/A,0.473,0.5900000000000001,,17.85,24.759999999999998
MXE92B/A,0.473,0.5900000000000001,,17.85,24.759999999999998
MUUK2B/A,0.456,0.61,,17.41,25.06
MUUL2B/A,0.456,0.61,,17.41,25.06
MUUT2B/A,0.456,0.61,,17.41,25.06
MV0D2B/A,0.464,0.61,,17.41,25.06
MW742B/A,0.483,0.75,,17.41,25.06
MW752B/A,0.483,0.75,,17.41,25.06
MW762B/A,0.483,0.75,,17.41,25.06
MW772B/A,0.483,0.75,,17.41,25.06
MW792B/A,0.483,,,,
MW6A2B/A,0.493,0.75,,17.41,25.06
MW6D2B/A,0.49441528,,,,
MW6E2B/A,0.493,0.75,,17.41,25.06
MUQW2B/A,0.3005,0.61,,13.48,20.32
MUQX2B/A,0.3005,0.61,,13.48,20.32
MUQY2B/A,0.3005,0.61,,13.48,20.32
MUU32B/A,0.3005,0.61,,13.48,20.32
MUU52B/A,0.3005,0.61,,13.48,20.32
MUU62B/A,0.3005,0.61,,13.48,20.32
MUX52B/A,0.3082,0.61,,13.48,20.32
MUX62B/A,0.3082,0.61,,13.48,20.32
MUX72B/A,0.3082,0.61,,13.48,20.32
MUXC2B/A,0.3082,0.61,,13.48,20.32
MUXD2B/A,0.3082,0.61,,13.48,20.32
MUXE2B/A,0.3082,0.61,,13.48,20.32
ADS3600WZU1,4.45,25.8,,38.2,33
ADS2200ZU1,2.6,20.6,5,39.3,28.6
ADS2700WZU1,2.7,14.5,35.6,39.3,28.6
ADS1700WZU1,1.9,15.7,86.3,38,20
MFCJ890DWZU1,25.3,54.3,,66.2,50.4
MFCJ5945DWZU1,25.3,54.3,,66.2,50.4
TD2130NXX1,1.34,21.5,1,11,17.2
TD2020ZU1,,,,5.6,
TD2120NZU1,1.34,21.5,1,11,17.2
