sku,weight (kg),depth (cm), length (cm),width (cm),height (cm)
DP2HDMM2MB,0.096,20,41.5,42,43.5
48019,,,3,,
TL-POE170S,0.92,25,,19,9.5
KF560C32RS-32,,0.765,,13.330000000000002,3.9200000000000004
TN135M,0.565,,,,
006R03264,0.6067,36.5,,16,11.5
A27XB,0.0046,1.8,0.23,0.9,0.2
5Y4B2EA#ABU,1.38,44.9,,6.9,30.5
65-0030,,,3,,
DN-19 KEY-3U-SW,9.45,41.5,,51,
KF426C16BBK4/64,2.13,2.54,31.119999999999997,20.32,10.16
2L-7D03UD,10.7,,45,33,24
18251,0.615,3,,47,14
22-3004,,,15,,
APCRBC113,7,17.1,,21,14
C13T27914012,0.111,6.4,26,10.2,14.6
V-6FUTP-20B,0.535,,20,,
C13T34664510,0.16,32,,19.5,2
PGW-AC-KOL-041,,,0.5,,
5B10W13920,0.3,,,,
U3-2HDWP-5T,0.227,7.5,,12.5,1
KF426C16BB/32,1.43,1.4,31.1,19.7,6.1
65-3015,,,1.5,,
LVN122508,33,30,500,30,45
9LCST3,,,3,,
SL65-3050,,,5,,
C13T09J44010,0.06,9.8,,3.2,14.2
CS72U-AT,16.1,23.9,49,31.5,33.8
KF442C19RB2AK2/16,2.54,1.73,25.4,19.05,17.78
TK-1130,,8.5,,28.5,10
006R03838,0.9979,32,,9.91,18.54
KF432C16BB2AK2/64,1.39,1.4,25.4,19.05,8.89
006R03194,0.9,37,,16,12
46493,,,5,,
32-2151,,,1,,
60-9040,,,4,,
12.99.1110,0.56,,12,,
TN1050,0.5,10.8,,14.8,35.6
L0S58AE,0.00382,12.6,120,11.9,3.6
37603,,,3,,
KF548R36RBK8-256,0.18600999999999998,16.759999999999998,,10.41,3.56
42-3547,,,2.5,,
1P3K6AA#ABB,0.235,23.5,,9,2.85
32-3781,,,10,,
4XC1D69579,0.03,14.4,,5.3,17.7
4SCSC10,,,10,,
SS567A,0.98,13.7,,55.1,14.3
SL65-8002,,,0.25,,
JCC153G-N,0.7,1.27,21.8,10.3,16.5
UACC-LITE-AP-AM,0.045,14.9,,8.9,2.9
DN-10180,0.2575,3,,15.5,22
C13T26214012,0.073,4.3,26,10.2,14.6
006R04314,1.01,32.5,,18.5,10
40774,0.018,14.4,0.15,13.3,
KF564C32RS-16,1.7,1.73,25.4,19.05,17.78
30314,,,2,,
C9451A,0.004900000000000001,4,,20.2,12.9
Q7560A,1.5,,13.2,37.6,14.7
3ED71A,558.8,3.6,,11.9,12.6
MAPCUS07,0.036,18,0.75,6,2
C13T642800,0.0004,24.5,,4.3,12
6AUTP-02BL,0.085,,2,,
3LCLC20,,,20,,
6UTP-02GR,0.093,,2,,
LVO231802UNI,0.0026,,2,,
39-3106,,,305,,
L60-2025,,,2.5,,
L67-3020,,,2,,
4LCLC05,,,0.5,,
B67-0050,,,5,,
KVR52U42BS8K2-32,,,,13.330000000000002,3.12
HDMMV3M,0.154,22,43,38,29
1VU26AE,0.00289,4.7,21.7,31.3,17.5
6FUTP-015B,0.068,,1.5,,
42-2691,,,0.5,,
6AUTP-15R,0.565,,15,,
CX5500FEA-E60003,3.5,45.5,,7.3,29
DN-19 ORG-3-SW,1.1,16,,20,
47593,,2.8,1.5,1.1,0.6
W1143AD,385.1,13.790000000000001,80,120,2.45
2L-7D02UHDPX4,0.3,,1.8,,
F6U16AE,0.0033399999999999997,12.6,120,11.4,2.5
64HNK,0.0839,6.9799999999999995,0.12,6.9799999999999995,2.45
D31799,0.28,3.5,,32.5,23
AK-460701-100-S,1.19,10,100,17,
DP1.2-003,0.145,,3,,
006R03215,2.3,45.8,,27.5,16.7
6FUTP-07GR,0.254,,7,,
SL65-8025,,,2.5,,
36713,,,2,,
AK-330107-050-S,0.225,27,5,23,
PDU12V,,,3,,
006R04637,0.5443,18.5,,12,9
S-6UTP-005BL,0.000013,,0.5,,
3LCLC7,,,7,,
31328,,,3,,
BX500MI,4.5,34.6,1.5,14.2,22.2
MC3309130-002,,,2,,
32-3754,,,10,,
006R03653,2,34.5,,29.5,17.5
6AUTP-02W,0.085,,2,,
41672,,,2,,
DB-600109-010-W,0.054167,2.5,1,9,
U428-20N-G2,0.32,1.27,2.54,35.05,40.13
SRTL3KRM1UIC,24.2,76.4,2.44,56.4,27.8
IPAX15,,,0.15,,
54G0W00,1,46.2,,20,19.2
6AUTP-0025B,0.024,,0.25,,
8A5W1EA#ABU,1.38,44.9,,6.9,30.5
V-6FUTP-15Y,0.42,,15,,
CF360X,0.142,14.7,,39.5,16.1
J8030A,187.3,13.8,,17.8,6
36491,,,1,,
67-3300,,,30,,
PDU12V16A,,,3,,
LVO231008,0.04,,4.5,,
35640,,,0.25,,
CBLRD-1B4003600R,,,9.14,,
KF572C38RSAK2-48,2.67,1.73,25.4,19.05,17.78
M05130,0.125,8.4,,12,3
48370,,,30,,
PDU16VC20,,,3,,
MPO-F-4LCDX-OS2-05M,,,5,,
5UTP-03Y,0.122,,3,,
S-6UTP-02G,0.000037,,2,,
GLO-GMMK2-65-RGB-ISO-W,0.88,,2,,Yes
44250722,0.56,10.8,,39.9,11
KA7140,0.072,,,,
88-AQ010,,,1,,
R2ACR-2M-USB-CABLE,0.0445,12.8,38,43,29
53230,,3,,8,1.6
COREADEPT-EK-BLE,,,0.35,,
MQGH2ZM/A,,,2,,
36963,,,2,,
13L55AA,0.0115,3.9,,4.18,1.65
84458,0.05,3.6,2,7.5,9.5
60-3025,,,2.5,,
58D2000,1.2,15.8,,49.5,29.8
USB3ABAOC-15,,,15,,
AK-340401-001-S,0.0485,20,0.15,15,
48050,,,5,,
38433,0.059,19.4,,17.4,1
UACC-CABLE-PATCH-OUTDOOR-3M-BK,0.125,,3,,
OR3SCSC10,,,10,,
AK-320505-000-S,0.0395,8,,5,
KF560C36BBE-8,1.5,1.4,31.119999999999997,20.32,10.16
36996,,,1,,
003R99793,0.98,36.5,,14,11.3
G57PC,1.79,23.330000000000002,,35.78,2.47
006R03514,1.57,36.5,,18,14.5
02249-001,,,1,,
CE741A,0.1146,18.8,,49.2,22.5
506-93,0.064,4,1,7,16.7
73828,0.18,,,,
DN-97681,2.81,47,,45.5,5
FO-LCSCOM1D-005,0.0002,0.16999999999999998,5,0.16999999999999998,0.01
DN-19 FAN-2-N,3.26,41,,47,8
UACC-CABLE-PATCH-OUTDOOR-5M-W,0.2,,5,,
SL65-5020,,,2,,
29995,,,3,,4.4399999999999995
S-6AUTP-0075B,0.000017,,0.75,,
006R04757,,32.5,,11,11
AK-610100-030-E,0.138,24,3,15,
00NY673,0.5,,,,
21DJ000DUK,1.7,23.5,,35.7,1.89
43502302,0.18,4.7,,26.2,4.6
42-5130,,,3,,
KF436C16RB2/8,1.75,1.73,25.4,19.05,17.78
6FUTP-005R,0.034,,0.5,,
DAUBNBC084,,17.53,0.17,3.3,1.27
DB-300136-018-S,0.17,23.5,1.8,7.5,
36751,,,1,,
C13T18134012,0.042,2.6,26,10.2,14.6
WAVE-AP-EU,2.3,18.7,,21.2,20.5
MCP2M00-A001,,,1,,
KA7970-AX,4.42,11.9,49,31.5,17.8
MFCL5710DNQJ1,20,46.1,,41.7,44.8
L60-0100,,,10,,
KF426C16BB12A/16,1.68,1.4,32.510000000000005,19.3,8.89
STLC4000400,1.24,12.99,,4.529999999999999,4.529999999999999
11.99.5519,,,1,,
CBL-0281L,,,0.75,,
AK-340301-030-S,0.166667,2.8,3,17,
MU6MMSRA,0.022,22,1.8,12.8,0.7
ST10000NM013G,0.65,14.7,,10.18,2.6100000000000003
2L-7D02HDP,0.12,,1.8,,
AK-310103-018-S,0.225,22,1.8,17,
LVT551010,0.016,6,6,0.25,0.02
70C20C0,0.2,,,,
65-1005,,,0.5,,
V-6FUTP-15W,0.42,,15,,
006R03786,0.706,32,,11.5,11.5
C13T15764010,,3.3,120,100,48
LVN147144,0.67,,15,,
920-008341,5.81,23.6,25.3,33.3,31.5
MDP2HDMM1MB,0.06,22.2,41.5,42,43.5
6FUTP-07G,0.254,,7,,
43098,0.5,,10,,
6FUTP-05R,0.19,,5,,
U-CABLE-PATCH-RJ45-BL-50,,,0.1,,
VHK-001-WZ1,8.55,45,40.5,46.3,15.2
6AUTP-07B,0.28,,7,,
6UTP-0025B,0.025,,0.25,,
006R03824,0.9072,32,,10.92,10.92
KF432C16RB12/16,1.75,1.73,25.4,19.05,17.78
LVO231410,0.113,8,10,20,25
DA-70856,0.1,23.5,0.11,7.5,1.2
HDTCA10ER3AA,0.149,1.4,,7.8,10.9
AK-300105-018-S,0.047867,0.8,1.8,9.2,
36202,,,2,,
CYDH8,0.2,,,,
NLAQ-150-CAT6A-PATCH,0.0674,19,38,43,29
1T02R40NL0,,60.5,,12,14
DELL-FD7VG,,,1,,
AK-330150-200-S,1.02,19,20,20,6.5
72K2XM0,1.38,17.7,,49.8,18.6
C13T29834012,0.038,2.6,26,10.2,14.6
HDTB520EK3AA,0.149,10.9,,7.8,1.4
AX4U32008G16A-DTBKD35,,13.330000000000002,,3.4,0.5900000000000001
62STSC5,,,5,,
VT3SCSC5,,,5,,
11.99.5584,,,0.15,,
42-2683,,,2,,
UACC-PRO-AP-AM,0.136,18.9,,17.4,3.9
40-4021,,,2,,
AK-330502-000-S,0.018,1.5,,7,7.5
006R04201,0.76,33,,12,11.5
36722,,,1,,
58D2H00,1.7,15.8,,49.5,19.8
21E60058UK,1.7,24,,36.5,1.89
36469,,,15,825,
52-1024,,36.3,,54,21
MAPCUS34-BK,0.09,18,3,6,6
CF300A,136.4,13,,58.4,19.5
C13T01C100,0.34,27.8,,4,14.5
32-3706,,,3,,
50SCSC10,,,10,,
ST924A,1.82,25.7,,40.3,10.1
31317,,,2,,
CF217A,121.1,10.8,,35.8,13.5
67-1015,,,1.5,,
MAVFF001-050,,,5,,
21E6005KUK,1.7,24,,36.5,1.89
6ASFTP-003R,0.026,,0.3,,
TN135Y,0.565,,,,
22-3003,,,20,,
KF556C40BWK4-128,0.15427000000000002,13.34,,0.6599999999999999,3.4799999999999995
920-008228,5.48,52.6,53.5,20.6,23.7
W2033A,0.16498,10.2,73,113.3,110
L67-5020,,,2,,
006R04184,0.8,32.5,,11.5,11.5
X1400EA-EK1651WS,2.89,45,,6.5,27
V-6UTP-02O,0.058,,2,,
KM5221WBKB-NOR,0.713,13.8,,45.5,7.2
DA-70855,0.072,19,0.15,8.6,1.7
88Z23EA#ABU,2.96,55.2,,6.9,34.3
KF572C38RW-16,1.7,1.73,25.4,19.05,17.78
60-3030,,,3,,
48105,,,0.3,,
3ED78A,706.2,4.62,,11.9,12.6
68-5100,,,10,,
V-6FUTP-02B,0.073,,2,,
36225,,,7.5,,
HDMIDD2.0AOC-015,,,15,,
35643,,,3,,
67-2010,,,1,,
36494,,,1.5,,
VC081A-AT,0.082,12.4,26,4.2,12.9
36293,,,3,,
006R04217,0.3697,23,,6.5,5.5
133-90,0.59,1.9,,8.9,19.3
DB-340106-010-S,0.088333,2.3,1,7.5,23.5
39-2504,,,305,,
TN230BK,0.835,,,,
006R04320,0.779,33.5,,11,7
EN1111,20.7,30.7,72.7,62.7,33.2
106R02634,0.72,36.5,,16,11.5
2L-5202A-1,,,1.8,,
TC-MDPVGA,0.04,22,0.22,17,
VSC15PJ4BDXA,2.1,23.8,,31.3,3.9
108R00975,0.5896,52.7,,10.790000000000001,9.52
32-3630,,,1.5,,
MAPCDB18,0.18,18,3,9,4
A6929301,,,2,,
C13T79014010,0.000146,3.7,120,100,46.5
HB31CM4CPD3,0.175,17,0.345,47.3,44
60-4003,,,0.3,,
DKON1787ST-RUKPDWWT1,0.95,,,,Yes
20W400MVUK,1.82,24.8,,36.58,1.9100000000000001
2A-128G,0.028,5.720000000000001,,4.05,1.6199999999999999
C13T580300,0.0050620000000000005,11,120,100,120
SL65-1040,,,4,,
WAV-006,,,0.2,,
42-0561,,,2,,
WH63 PORTABLE TEAMS,0.019,18.1,,20.1,11.2
42-0575,,,5,,
NLBL-150-CAT6A-PATCH,0.0674,19,38,43,29
31121,,,2,,
1T02R9CNL1,,32,,12,11
42-2723,,,3,,
SS600A,1.23,13.5,,55.4,13.7
CBA-RF4-C09ZBR,,,2.74,,
C13S050709,0.004764999999999999,8.3,120,100,75
G-T,,5,,10.5,5
KF572C38RS-16,1.7,1.73,25.4,19.05,17.78
R74C3,,17.8,,17.8,1.27
TC83BH-3205A710RW,,6.4,,7.6,23.3
DA-73100-1,,,10,,
DKME2061ST-SUKPDAAT1,0.827,,,,Yes
65-3050,,,5,,
ST12000NM004J,0.65,14.7,,10.18,2.6100000000000003
82TT007RUK,1.7,23.6,,35.9,1.9899999999999998
67-5150,,,15,,
LVO231471,0.042,8,5,27.3,25
6UTP-003GR,0.027,,,,
CC1M-40G-USB-CABLE,0.03,22.5,32,50,21
006R04197,0.79,32.5,,11.5,11.5
C13T09K44010,0.05,9.8,,3.2,14.2
KF548C38BBK2-64,0.1017,1.4,,9.53,17.15
FO-LCLCOM2D-005,0.0002,0.16999999999999998,5,0.16999999999999998,0.01
BFA-MSC-SATA330KK-RP,,,0.3,,
F3Y057BT2M,,,2,,
6446B004,0.05,1.9,,11.5,1.9
L67-1080,,,8,,
CS62KM-AT,1.5,11.9,32.5,25,17.5
KSM52T42BS8KM-16HA,,0.37,,6.959999999999999,3.12
AKB862UK,0.45,,,,
DN-97668,12.5,10,45,53,32
CF330X,0.1235,16.4,,39,21.4
4LCST05,,,0.5,,
L67-2005,,,0.5,,
6FUTP-05Y,0.19,,5,,
67-4015,,,1.5,,
COREADEPT-EK-WHT,,,0.35,,
47473,,,5,,
41070,0.04,15,,,
B5402CBA-KII7X,1.25,22.31,,32.339999999999996,1.8
AK-330109-020-S,0.077,24,2,18,
EV4LC1,,,1,,
87-0438,,,18,,
USB3-MICROSRT-BLK,0.01,,0.75,,
39306,0.86,6.3,,23.5,19.8
STLC20000400,1.47,9.3,,23.3,22.2
48079,,,3,,
C13T07U240,0.061,14.2,,9.6,3
42-2986,,,2,,
1805243,,,5.5,1.2,
36635,,,7.5,,
6FUTP-05BL,0.19,,5,,
CT70FAWH,,,,10,5
WDS480G3G0A,0.0362,10.05,,6.9799999999999995,0.7
29985,,,1.5,,59
9SR36AA#ABU,0.413,,1.8,,
NLBK-150-CAT6A-PATCH,0.0674,19,38,43,29
C2YCK WIN SERVER 2022 DATACENTER,11.7,45.38,,17.5,36
V-6FUTP-015B,0.057,,1.5,,
ST8000NM018B,0.716,14.7,,10.18,2.6100000000000003
006R03617,1.15,13,,38.7,23.5
AK-310203-030-E,0.35,19,3,16,
67-7020,,,2,,
6ASFTP-05GR,0.188,,5,,
AK-330111-020-S,0.133333,1.2,2,25,14
65-2015,,,1.5,,
70C20K0,0.2,,,,
MPO-F-4LCDX-OS2-10M,,,10,,
MAVRC003-030,,,3,,
47345,,,3,,
3MSP-SP,,,3,,
CF210A,0.1933,10,,36.5,11
6UTP-03O,0.133,,3,,
X950X2KG,0.99,,,,
V-6UTP-07B,0.16,,7,,
DK-292SCA3LC-01,0.036,1,1,20,
30764,,,0.3,,
5N20V43785,0.14,15.5,,32.2,3.3
6ASFTP-07G,0.251,,7,,
F1D9019B06T,,,1.8,,
KM5221WBKB-UK,0.713,13.8,,45.5,7.2
4LCSC15,,,15,,
KSM56T46BS8KM-16HA,,0.37,,6.959999999999999,3.12
50LCSC2,,,2,,
11.99.5638,,,1.5,,
30039,,,2,,
HDTCA40EW3CA,0.2175,1.9,,7.8,10.9
94-3503,,,2500,2.5,
42-0570-LS,,,1,,
C13T789440,0.00011700000000000001,14,120,100,2.17
SL65-8005,,,0.5,,
DB-510210-010-S,0.039,11,1,11,3
T6L91AE,0.00257,2.3,,10.6,11.35
006R04525,0.949,32,,19,10
V-6UTP-07GR,0.16,,7,,
AX5U5200C3816GDCLABK,18.9,15,37.5,31.5,28.5
B67-0020,,,2,,
C13T07134012,0.044,2.6,26,10.2,14.6
48024,,,20,,
92298X,1.98,,,,
UACC-ADAPTER-PT-120W-EU,0.448,16.91,,7.5,3.16
COREADEPT-EK-GRY,,,0.35,,
LVO231510,0.047,,10,,
68-2050,,,5,,
USB2009BK,,,1,,
IEUGBKGOKEYBRBLK4,0.325,,,,
KM7321WGY-BEL,0.561,,,,
DA-70829,0.12,23.5,,7.5,2.3
67-7030,,,3,,
MSTMDP123DP,0.4,15.5,49.6,33.7,22.4
14201-09,1.45,2,40,29,61
60-0010,,,1,,
DELL-DA310,0.08,6.9799999999999995,0.12,6.9799999999999995,2.45
UACC-AOC-SFP10-5M,,,5,,
DA-90449,0.43375,3.5,,5.5,35.7
USB31CCV50CM,0.088,22,43,39,29
T6M11AE,0.0029300000000000003,2.3,,10.6,11.35
6FUTP-05W,0.19,,5,,
9SC1,,,1,,
DK-35041/3-U,0.059,68,1,43,
KF436C17BB2AK2/16,1.39,1.4,25.4,19.05,8.89
C9371A,0.00528,4,,20.2,12.9
C13S050593,0.000371,14.5,120,100,119
STLR4000400,3.4,4.55,24.1,18.6,18.7
EV4LCLC3,,,3,,
KF556C36BWEA-16,1.82,1.4,32.510000000000005,19.3,8.89
24-0215,,,1,,
KM5221WBKB-INT,0.713,13.8,,45.5,7.2
3STSC5,,,5,,
KF436C18RB2A/32,1.75,1.73,25.4,19.05,17.78
42-3131,,,1,,
V-6UTP-15O,0.328,,15,,
V-6FUTP-002BL,0.021,,0.2,,
006R03623,0.744,34.5,,13.5,10.5
KCP548US8-16,,,,13.330000000000002,1.8800000000000001
3ST1,,,1,,
KF560C32RS-16,1.7,1.73,25.4,19.05,17.78
S-6AUTP-04G,0.00006900000000000001,,4,,
31525,,,5,,
XS+DA0003,,,3,,
ST2000NX0243,0.198,10.05,,7.01,1.5
100CQQH2620,,,2,,
3STSC2,,,2,,
D31797,0.45,6,,37.5,26
42-0561-LS,,,2,,
SCSCOM3DAQ10/CL,,,10,,
43176,0.1,12.9,0.29,17.5,3
ADAPTER 120W_1,0.5,5.9,,13.7,3.5
6ASFTP-003Y,0.026,,0.3,,
11.99.5779,,,1.5,,
65-7030,,,3,,
20N0W00,0.71,22.2,,14,8.9
J3M70A,840.3,2.8,101.6,121.9,192.7
33325,,,0.7,,
SRT5KRMXLIM,66.9,96,,61,33
B3402FEA-ECI582XA,1.61,22.39,,32.9,1.95
AK-300315-001-S,0.03,15,0.15,1.75,
DELL-6TM1C,,,1.83,,
9S7-15H411-003,1.9,7.9,,46.8,30.4
Q7581A,0.1525,12,,43,20.5
67-5040,,,4,,
VEL-OW64827,,,30,2.5,
C13T33574011,0.203,5.3,37,19.5,15
TC4RT,1.23,20.75,,30.57,1.84
508-43,0.1,2,,7.5,19.5
CMDPHD2HD,0.478,22.1,2,12.2,6.7
DN-81231,0.1,26,10,26,
MAVRC003-015,,,1.5,,
AK-330105-200-S,1.41,19,20,19,
2L-7D05DD,,,5,,
R2CCR-1M-USB-CABLE,0.0264,12.8,38,43,29
69-0050,,,5,,
6FUTP-20GR,0.68,,20,,
V-6UTP-10G,0.222,,10,,
67-3010,,,1,,
V-6UTP-10BL,0.222,,10,,
RUSB2CLT1MBC,0.04,22,43,38,29
KF426C16BB2A/16,1.68,1.4,32.510000000000005,19.3,8.89
C13T70134010,0.00011999999999999999,14,120,100,51
580-ADGM,0.503,,,,
78C2UY0,1.89,19.6,,49.8,22.3
6UTP-003R,0.027,,,,
6ASFTP-07BL,0.251,,7,,
2NA11AA,0.02,3.4,,4.9,1
67-8070,,,7,,
15MSP-SP,,,15,,
47704,,,2,,
R7J38A,2.3,28.5,,28.5,9.5
36203,,,3,,
NP750XED-KC3UK,1.57,22.91,,35.660000000000004,1.54
65-9003,,,0.3,,
B252X00,0.986,39.9,,13.7,18.1
J3M68A,883,2.8,,21.5,4.8
SDIT/32GB,0.39602,0.5599999999999999,12.07,11.43,9.4
21JG000FUK,1.5,21.6,,32,1.69
DK-2433CU075BK-BBB,0.207097,35,75,35,
56F2X00,1.18,39.9,,13.7,18.1
TN3330,1.15,,,,
3WT90A,0.916,23.5,47.1,18.9,47.1
006R04618,0.3628,18.5,,12,9
C2-D46-UC2-CBL-KVM,0.42,16,34.5,44.5,34.5
48020,,,5,,
LVN-CAT6A-FLEX-1MWH,0.05,16,1,27.6,3.6
LMP-KB-1243-UK,0.67,,,,
USBC-VGA-0002W,,,0.2,,
SL65-6050,,,5,,
JUA354-N,3.1,9.5,32.1,22.5,18
ASB179-0.5,,,0.5,,
AK-300105-005-S,0.02435,0.5,0.5,9.2,
450-11859,,,2,,
KF556C40BWA-32,1.82,1.4,32.510000000000005,19.3,8.89
AX5U5200C3816G-CLABK,0.074,13.330000000000002,,4,0.8
4LCLC10,,,10,,
VFY:U7413MF7DMGB,1.13,21.1,,32.2,1.89
SL65-3003,,,0.3,,
ERT-600-HR,,,0.25,,
C13T01D400,0.38,27.9,,14.4,3.9
THN-N203N1280E4,0.002,3.2,,2.4,0.21000000000000002
TX3SPLIT12,0.014,0.007000000000000001,0.3,9,12.5
V-6UTP-07Y,0.16,,7,,
40951,,,,,70
32-2408,,,2,,
DK-1744-VH-5,27,54,500,54,
006R04383,0.8632000000000001,40,,12.5,12.5
Q3971A,0.9,13.2,,37.6,15
67-3050,,,5,,
KF556R36RB-32,0.04028,1.4,,9.53,17.15
006R03789,0.681,32,,11.5,11.5
48052,,,10,,
LTC 2530,,,9,,
LVN-CAT6A-FLEX-50CMWH,0.05,16,0.5,27.6,3.6
62LCSC1,,,1,,
HDDVIMM3M,0.24,29,3,14.5,2.4
C13T07114H10,0.088,4.3,120,100,150
33350,,,0.2,,
65-2030,,,3,,
73193,0.128,9.5,,9.5,4
WKSTNCART,20.1,72.5,72.5,114,17.7
P40499-B21,0.5,22.86,,21.919999999999998,14.61
Q7553X,0.142,12.2,,39,19.6
006R04180,0.804,32.5,,11.5,11.5
IEUEBGAIRPOPRTEL124,0.0275,,,,
00XL014,,,1.8,,
6AUTP-015B,0.069,,1.5,,
1HE07AA#ABB,0.22,6.2,,6.2,2.85
KVR56U46BS8K2-32,,,,13.330000000000002,3.12
C13T05H34020,0.06,9.8,,3.2,14.2
36969,,,20,,
36725,,,5,,
L0S07AE,0.0059900000000000005,5.2,101.6,121.9,156.8
PDU8V,,,3,,
AK-320100-020-S,0.262,24,2,17,
41940,,,0.5,,
450-ABJR,,,2,,
V-6UTP-015B,0.046,,1.5,,
006R04376,0.9697,37.08,,17.02,16
STKP4000400,1.34,7.7,,21.2,21.8
6UTP-03Y,0.133,,3,,
9SCSC5,,,5,,
XS+DA0001,,,1,,
5UTP-015W,0.071,,1.5,,
65-5003,,,0.3,,
L67-3030,,,3,,
8800-00-99,0.04,0.5,,13.5,20
701671-091,,,1.8,,
MST14CD123HD,0.124,17,33.1,47.3,44
C9723A,0.14,14.7,,39,24.7
KF560C40BB-16,1.5,1.4,31.119999999999997,19.69,6.1
48123,,,2,,
36662,,,2,,
DN-97601-2,0.465,48.5,,5,4.5
006R03712,0.5896,32,,10.92,10.92
TN3280,1.4,,,,
NJVPK,0.32,,1,,
LAC301558,2.5,18.6,26.6,18.8,13.5
5UTP-15G,0.545,,15,,
MZ9LCLC1.5,,,1.5,,
S-6UTP-003GR,0.00001,,,,
KF426S15IB1/16,0.7805,1.4,31.1,19.7,6.1
46404,,,100,,
42-3051,,,1,,
72K2XY0,1.33,17.7,,49.8,18.6
RUSB31CC50CMBR,0.09,12.8,38,43,29
MZ9SCSC7,,,7,,
F1DN1VCBL-HH10t,,,3,,
V-6FUTP-01BL,0.044,,1,,
42-2740,,,0.5,,
PC-C13C14-003W,,,3,,
DKT30ICHPD,0.11,17,34,45,20
C13T01C400,0.19,27.9,,10.5,4
4SCSC05,,,0.5,,
DANAUBC087,,,0.2,,
3SCSC2,,,2,,
6FUTP-20B,0.68,,20,,
M9P74,0.768,48,,38,7
DN-CT-10M-25,,,10,2.5,
920-004958,0.55,,,,
SV066A,1.44,18.5,,39.4,18.2
37601,,,1,,
67-5200,,,20,,
006R04195,0.76,33,,11.5,11
KF560C36BBEK2-32,0.1017,13.34,,0.6599999999999999,3.4799999999999995
42-0559-LS,,,2,,
45359,,,20,,
V-6UTP-0025R,0.02,,0.25,,
KF564C32RSAK2-32,0.16562000000000002,13.330000000000002,,4.4,0.766
C242XY0,0.24,10.2,,14.1,7.2
67-4010,,,1,,
STLC10000400,1.49,7.8,,22.2,23.3
60-3200,,,20,,
30461,,,3,,
SV431HU34K6,1.8,40.9,43.8,54.5,25.8
5PX1500RTG2,23,44.7,,43.69,8.64
713E-1M-POWER-CORD,0.14,14,32,50,25
AK-610203-100-E,0.455,27,10,24,
2L-2510A,,,10,,
TC-MULTIHDMI/BL,0.1,16,,16,4.5
6AUTP-25G,0.925,,25,,
47504,,,5,,
6AUTP-0025Y,0.024,,0.25,,
KVR56U46BS6K2-16,,,,13.330000000000002,3.12
47840,,,5,,
450-18644,,,2,,
CF279A,214.2,11.3,100,117.5,126.9
39-3116,,,305,,
LVO231814,0.033,10,2,20,20
USBLT2PCARW2,0.0072,13,43.5,40.5,35.5
65-5150,,,15,,
L67-0080,,,8,,
CS682,0.49,11.15,1.2,7.8,2.4
C13T26014012,0.066,4.3,26,10.2,14.6
DB-340105-020-S,0.128333,2.3,2,7.5,23.5
47544,,,5,,
SP850B,,10,40,6.35,12.5
67-9015,,,1.5,,
C13S050554,0.00062,39.5,120,100,107
006R04400,0.7897000000000001,33.019999999999996,,9.91,18.8
65-8010,,,1,,
006R03687,1.33,35,,24,15
Q6511A,0.132,16.5,,38.8,24.4
36683,,,2,,
RH2A-10M-HDMI-CABLE,0.7,25.2,38,43,29
MTIE100HT,,,10,0.25,
6AUTP-02O,0.085,,2,,
47180,,,3,,
CLT-W504,0.05,9.6,20.4,29.6,14.5
42-2731,,,1,,
60-1020,,,2,,
V-6FUTP-07O,0.203,,7,,
8121-0842,,,1.8,,
LVN125457,0.322,,,,
2L-7D15H,12.7,,45,33,20
02-SSC-6845,,13.5,,3.5,19
CB-DP0082-S1,,,0.24,,
CBMCTM2,0.08181000000000001,2,37.1,2,0.4
C13T02V64010,0.13,4.5,120,100,2
KF437C19BB12AK2/32,1.39,1.4,25.4,19.05,8.89
S11-04UK231-CLA,1.26,3.4,1.8,17.1,45.5
AK-440107-018-S,0.23333299999999998,4,1.8,15,17
SU951A,2,26.9,,35.3,15.2
37866,,,10,,
MB-MD256SA/EU,0.00025,0.1,,1.5,1.1
VGP-AC19V39,0.15,9.2,1.8,3.7,2.65
36734,,,3,,
5M3RCA,,,5,,
S-6AUTP-02BL,0.000037,,2,,
F1DN1CCBL-HH10T,,,3,,
ST2000NX0433,0.198,10.05,,7.01,1.5
CB403A,0.13,14.8,,40,26.8
LVN125458,0.38,26.5,,10.5,3
PA3378E-3AC3,0.355,,,,
106R03933,0.385,20.5,,10,9.5
10M3RCA,,,10,,
6UTP-02R,0.093,,2,,
C13T35864010,0.211,6.2,37,19.5,15
15MSP2RCA,,,15,,
286H8AA#AC3,0.00775,3,,6.959999999999999,0.35
4LCLC3,,,3,,
L67-2040,,,4,,
KF426S15IB1K2/32,1.22,1.4,31.119999999999997,20.32,10.16
5UTP-10B,0.37,,10,,
80C2HY0,0.24,,,,
920-007135,5.76,37,37.9,17.1,32.1
67-6050,,,5,,
84C2HYE,0.536,16.5,,20,7.5
DA-73103,1.11,30,25,14.5,6
006R04604,0.17,22.5,,5,3.5
ST10000NM018B,0.72,14.7,,10.18,2.6100000000000003
CDP2HDMM3MH,0.133,20,43.5,41.5,42
67-6002,,,0.25,,
3LCLC50,,,50,,
006R03641,0.616,32,,11.5,11
MC2207130-002,,,2,,
L67-1100,,,10,,
42-4049,,,3,,
72-3379,,,,8.6,8.6
CF540X,227.7,10.2,94.2,110,125.4
STLP2000400,3,3.55,24.1,18.1,18.7
1T02R9ANL1,,32,,12,11
