sku,weight (kg),length (cm),width (cm),height (cm)
JH019A,3.3,,44,4.4
JH018A,2.9,,44,4.4
JH017A,,,,
J9984A,,,,
J9983A,,,,
J9982A,0.91,,25.4,4.39
J9981A,,,,
J9980A,2.72,,44.25,4.39
JG963A,7,,44,4.4
JG961A,5,,44,4.4
JG960A,3,,43.6,4.4
J9772A,4.72,,44.3,4.45
J9773A,3.95,,44.3,4.45
J9775A,3.08,,44.3,4.45
J9776A,2.77,,44.3,4.45
J9778A,4.58,,44.2,4.45
J9782A,2.59,,44.2,4.45
J9774A,1,,25.4,4.45
J9780A,0.91,,25.4,4.45
J9777A,,,10,1.8
J9781A,2.86,,44.2,4.45
J9779A,3.81,,44.2,4.45
JL258A,,,10,1.7
JL259A,2.41,,44.25,4.39
JL261A,3.9,,44.25,4.39
JL253A,,,17.4,1.7
JL256A,4.46,,44.25,4.39
JL558A,,,,
JL260A,3.1,,44.25,4.39
JL254A,3.1,,44.25,4.39
JL075A,,,17.4,1.7
JL071A,,,17.4,1.7
JL355A,,,,
JL354A,,,17.4,1.7
JL356A,3.9,,44.25,4.39
JL081A,0.1996,,,
JL320A,4.5,,44.25,4.39
JL321A,4.6,,44.25,4.39
JL323A,,,17.4,1.7
JL324A,,,17.4,1.7
J9821A,,,17.5,6.9
J9822A,,,,
JL002A,,,,
JL003A,12.8,,44.45,17.53
JL095A,,,,
JC100B,6,,44,4.36
JY720A,11.3,,6.1,3.74
JY712A,11.3,,6.1,3.74
JZ320A,,,5,
JX945A,16.2,,6.5,1.5
JW797A,,,7.2,1.9
JW811A,30,,8.78,2.17
JW823A,,,8.9,2
JW801A,1.15212368,,8.86,2.05
JW186A,33.5,,7.99,2.24
JZ172A,2.39950168,,160,10.6
JZ031A,,,,
JY678A,10.9,,1.57,3.39
JX973A,28.7,,6.5,4.33
JX966A,,,6.5,4.3
JX939A,16.2,,80,1.5
JW325A,33.51,,20.32,5.588000000000001
SMV2000CAI,23.5,,18,24
SMV3000CAI,0.0252,,,
BH500INET,7.42,2.44,,
BK650EI,,,4,7
BX1400UI,12,,,
BR550GI,,,3.6,7.6
BR900GI,,,,
BR1200GI,13.2,,23.8,38.7
BR1500GI,13.4,,,
BR24BPG,,,,
SRV1KI,9.3,,14.5,22.3
SRV1KRIRK,,,,
SRV2KI,18.1,355,235,525
SC420I,10.2,,26.2,31.8
SURT1000RMXLI,27.8,,63,28.6
SRT5KRMXLI-6W,,,,
SRT8KXLI,126.8,,60,46.1
SC450RMI1U,11.7,,47.6,16.4
SC620I,13.2,,26.2,31.8
SMT750RMI2UNC,17.24,,,
SUA750RMI1U,25.4,,55.9,19.1
SMT750IC,,1.83,,
SMX750I,26.5,,58.9,24.6
SMT750RMI2UC,,,,
SMT1000IC,,,,
SMC1000I,,,6.7,8.5
SMC1000I-2UC,20.52,,,
SMT1000RMI2UC,31.4,,59.4,25.1
SMX1000I,27.3,,58.9,24.6
SMC1000IC,,,,
SMX1500RMI2U,30,,58.9,24.6
SMT1500RMI1U,29.1,,57.5,20
SMC1500IC,24.1,,17.1,21.9
SMT1500RMI2UC,28.6,,43.2,8.6
SMT1500RMI2UNC,31.8,,59.4,25.1
SMT1500IC,,1.83,,
SMC1500I-2UC,28.6,,43.2,8.6
SMT2200RMI2UNC,49.6,,60,25.4
SMT2200RMI2UC,,2,,
SMX2200RMHV2U,,,17,3.3
SMX2200HVNC,47.6,,58.6,33
SMX2200R2HVNC,,,,
SMT2200IC,61.9,,38.1,69.9
SMX3000HVNC,,2.44,,
SMT3000RMI2UNC,,,18.9,3.4
SMX3000HV,,1.83,,
SMT3000IC,,1.83,,
SUM3000RMXLI2U,,,,
SMX3000RMHV2U,,,17,3.3
SMX3000RMHV2UNC,,,17,3.3
SMT3000RMI2UC,,2,,
SUA5000RMI5U,,,,
SRT1000RMXLI,,1.5,,
SRT1000XLI,,1.83,,
SRT1000RMXLI-NC,,1.5,,
SRT1500XLI,,1.83,,
SRT1500RMXLI-NC,,,,
SRT1500RMXLI,29.6,,59.4,24.6
SRT2200RMXLI,34,,59.9,24.6
SRTL2200RMXLI,,,,
SRT2200XLI,30.8,2.44,59.9,24.6
SRT3000XLI,,2.44,,
SRT3000RMXLI,,2.44,,
SRT3000XLW-IEC,,,3.3,17
SRT3000RMXLW-IEC,39.9,,59.9,24.6
SRT5KRMXLW-HW,,,17,5.1
SRT5KRMXLI,,,,
SRT5KXLI,63.6,,61,33
SRT6KXLI,67,,61,37
SRT6KRMXLI,67,,61,37
SRT8KRMXLI,130,,60,46.1
SRT10KXLI,126.8,,60,46.1
SRT10KRMXLI,130,,60,46.1
SYH6K6RMI,,,,
SYA12K16RMI,290,,,
SRT192BP2,,,5.1,17
SMT1500RMI2U,28.6,,43.2,8.6
SMT2200I,,,,
BR700G,,,3.6,7.5
BR900G-GR,12.4,,22.5,48.7
SMT3000RMI2U,51.7,,60,25.4
SUA750IX38,14.6,,,
BR1500G-GR,13,1.83,11.2,30.1
SMT750RMI2U,,,17,3.5
BK350,6.36,,,
BR1200G-GR,13,1.83,11.2,30.1
MVVL2B/A,,,,
MV9A2B/A,1.37,,30.410000000000004,1.49
MV972B/A,,,,
MV962B/A,,,,
MQD32B/A,,,,
MUHN2B/A,,,,
MUHP2B/A,,,,
MUHQ2B/A,,,,
20M9001KUK,,,,
20N20009UK,,,,
20NN0026UK,,,,
20NX002QUK,,,,
20NX002SUK,1.27,,,
20Q0003VUK,1.29,,,
20Q0003WUK,,,,
20QD00KNUK,,,,
20QD00KSUK,,,,
20QD00L1UK,,,,
20QJ000CUK,,,,
20QV00BRUK,,,,
20QV00BTUK,,,,
20RW0002UK,,,,
81HQ00L1UK,,,,
81M9000YUK,,,,
81MD003EUK,1.14,,24.9,0.95
81MD003SUK,1.14,,24.9,0.95
81MD003TUK,1.14,,24.9,0.95
81HN00U3UK,,,,
20FRS1N600,,,,
1RQ68ET#ABU,1.64,,,
2RS31EA#UUW,1.63,,33.6,2
Y8Q64ET,1.48,,33.8,1.89
7KP76ET#ABU,,,,
1TT17EA#ABU,1.4,,30.6,1.95
Z2W63EA,1.28,,,
Z2Y97EA#ABU,1.19,,28.6,1.8399999999999999
5TJ82ET#ABU,,,,
6BP67EA#ABU,,,,
3DN41EA#ABU,,,,
6XE62EA#ABU,0.19,,31.04,1.77
6XE59EA#ABU,0.19,,31.04,1.77
7KP75ET#ABU,,,,
6XD58EA#ABU,,,,
7YL38EA#ABU,,,,
MRT32B/A,5.6,,52.8,45
MRT42B/A,5.6,,52.8,45
MRQY2B/A,9.42,,65,51.6
MRR02B/A,9.42,,65,51.6
MXNF2B/A,1.3,,19.7,3.6
MWTJ2B/A,,,,
MWTK2B/A,1.27,,,
MVH22B/A,,,,
MVH42B/A,,,,
MVH52B/A,,,,
MXK62B/A,1.4,,30.410000000000004,1.56
MXK72B/A,1.4,,30.410000000000004,1.56
MWP42B/A,1.4,,30.410000000000004,1.56
MWP72B/A,1.4,,30.410000000000004,1.56
MWP52B/A,1.4,,30.410000000000004,1.56
MWP82B/A,1.4,,30.410000000000004,1.56
MVVJ2B/A,2,,35.79,1.6199999999999999
MVVM2B/A,2,,35.79,1.6199999999999999
MQ2Y2B/A,9.7,,65,51.6
MWPF2B/A,,2,,
MY2H2B/A,0.641,,21.490000000000002,28.060000000000002
MY2J2B/A,0.641,,21.490000000000002,28.060000000000002
MXAU2B/A,0.641,,21.490000000000002,28.060000000000002
MXAV2B/A,0.641,,21.490000000000002,28.060000000000002
MXAW2B/A,0.641,,21.490000000000002,28.060000000000002
MXAX2B/A,0.641,,21.490000000000002,28.060000000000002
MXAY2B/A,0.641,,21.490000000000002,28.060000000000002
MY3D2B/A,0.643,,21.490000000000002,28.060000000000002
MXF52B/A,0.643,,21.490000000000002,28.060000000000002
MXF62B/A,0.643,,21.490000000000002,28.060000000000002
MXF72B/A,0.643,,21.490000000000002,28.060000000000002
MXF82B/A,0.643,,21.490000000000002,28.060000000000002
MXF92B/A,0.643,,21.490000000000002,28.060000000000002
MXFA2B/A,0.643,,21.490000000000002,28.060000000000002
MY232B/A,0.471,,17.85,24.759999999999998
MY252B/A,0.471,,17.85,24.759999999999998
MXDC2B/A,0.471,,17.85,24.759999999999998
MXDD2B/A,0.471,,17.85,24.759999999999998
MXDE2B/A,0.471,,17.85,24.759999999999998
MXDF2B/A,0.471,,17.85,24.759999999999998
MXDG2B/A,0.471,,17.85,24.759999999999998
MXDH2B/A,0.471,,17.85,24.759999999999998
MY2V2B/A,0.473,,17.85,24.759999999999998
MY2W2B/A,0.473,,17.85,24.759999999999998
MXE42B/A,0.473,,17.85,24.759999999999998
MXE52B/A,0.473,,17.85,24.759999999999998
MXE62B/A,0.473,,17.85,24.759999999999998
MXE72B/A,0.473,,17.85,24.759999999999998
MXE82B/A,0.473,,17.85,24.759999999999998
MXE92B/A,0.473,,17.85,24.759999999999998
MUUK2B/A,0.456,,17.41,25.06
MUUL2B/A,0.456,,17.41,25.06
MUUT2B/A,0.456,,17.41,25.06
MV0D2B/A,0.464,,17.41,25.06
MV0P2B/A,,,,
MW742B/A,0.483,,17.41,25.06
MW752B/A,0.483,,17.41,25.06
MW762B/A,0.483,,17.41,25.06
MW772B/A,0.483,,17.41,25.06
MW782B/A,,,,
MW792B/A,0.483,,,
MW6A2B/A,0.493,,17.41,25.06
MW6D2B/A,0.49441528,,,
MW6E2B/A,0.493,,17.41,25.06
MUQW2B/A,0.3005,,13.48,20.32
MUQX2B/A,0.3005,,13.48,20.32
MUQY2B/A,0.3005,,13.48,20.32
MUU32B/A,0.3005,,13.48,20.32
MUU52B/A,0.3005,,13.48,20.32
MUU62B/A,0.3005,,13.48,20.32
MUX52B/A,0.3082,,13.48,20.32
MUX62B/A,0.3082,,13.48,20.32
MUX72B/A,0.3082,,13.48,20.32
MUXC2B/A,0.3082,,13.48,20.32
MUXD2B/A,0.3082,,13.48,20.32
MUXE2B/A,0.3082,,13.48,20.32
ADS3600WZU1,6.3,,38.2,33
ADS2200ZU1,4,,39.3,28.6
ADS2700WZU1,3.9,,39.3,28.6
ADS1700WZU1,1.9,,38,20
MFCJ890DWZU1,64,,54.5,37.9
MFCJ5945DWZU1,25.3,,66.2,50.4
TD2130NXX1,1.34,1,5.6,9.86
TD2020ZU1,,,5.6,
TD2120NZU1,1.34,1,5.6,17.2
QL820NWBZU1,2.62,,29.8,23.2
VC500WZU1,1.79,,25.4,10.8
RJ4250WBZ1,0.85,0.3,10.4,6.8
PTP900WZW1,1.48,0.4,3.6,3.2
PTE550WVPZW1,1.05,,2.4,1.8
PTP950NWZW1,1.51,0.4,3.6,3.2
TD4520DNZU1,,,,10.8
TD4420TNZ1,2.5,25.4,11.2,10.8
TD4520TNZ1,,11.43,,10.5
TD4100NZU1,,,,
TD4420DNZU1,,,,10.4
HLL5000DZU1,60,127,76.2,
HLL5100DNZU1,13,,48.5,37.7
HLL6300DWZU1,15.8,,49.7,42.7
HLL5100DNTZU1,22,,66.2,70.2
MFCL2710DNZU1,60,127,76.2,31.85
MFCL2730DWZU1,60,127,76.2,31.8
DCPL2510DZU1,60,,,
HLL2370DNZU1,60,,35.6,51.9
HLL2375DWZU1,60,127,76.2,
MFCL3770CDWZU1,28.8,,62.3,56.8
HLL3210CWZU1,60,116,76.2,37.2
DCPL3550CDWZU1,27.4,,58.9,52.3
MFCL3710CWZU1,26.7,,52.3,56.8
DCPL3510CDWZU1,,,,
HLL3270CDWZU1,60,,,
HLL6400DWZU1,16,,49.7,53.1
HLL6400DWTZU1,25.9,,66.2,85.6
RJ2050Z1,0.465,100,5.8,5.7
RJ2030Z1,0.465,100,5.8,5.7
RJ2150Z1,0.545,100,5.4,7.3
RJ2140Z1,0.545,100,5.4,7.3
RJ3150Z1,,,,
RJ3050Z1,,,,
PJ722Z1,,,,
PJ762Z1,,,,
PJ723Z1,,,,
PJ763Z1,,,,
PJ763MFIZ1,,,,
DS740DTJ1,1.02,,37.7,7.6
DS940DWTJ1,1.11,,37.7,7.6
FAX2940ZU1,,,,
MFCL6900DWZU1,23.8,,59.9,76.2
MFCL5750DWZU1,20.2,,54.5,64.1
MFCL6800DWZU1,22.9,,59.9,65.9
MFCL5700DNZU1,20.1,,54.5,64.1
MFCJ6530DWZU1,64,148,105,
MFCJ5730DWZU1,,,,
MFCJ5330DWZU1,0,,,
MFCJ6930DWZU1,,,,
MFCL8900CDWZU1,35,,66.5,64.5
MFCL9570CDWZU1,36.1,,67.5,72.6
DCPL8410CDWZU1,60,127,76.2,
MFCL2750DWZU1,14.9,,58,43.4
MFCL3730CDNZU1,64,116,76.2,41.4
MFCL3750CDWZU1,64,116,76.2,41.4
MFCJ6945DWZU1,28.7,,68.1,50.4
DS720DZ1,1.18,,35.4,25.4
1722C002,,,,
3801B003,52,,31.8,18.55
4624B003,10.5,,39.8,19.4
5482B003,80,,31.3,9.3
9705B003,1,,28.5,17.4
