sku,weight (kg),depth (cm),width (cm),height (cm)
A500BLK,0.27,4.06,10.16,15.49
C13T05G34020,0.05,9.8,3.2,14.2
3ED69A,0.07,2.5,11.4,12.6
3ED79A,0.38,4.62,11.9,12.6
3ED68A,0.07,2.5,11.4,12.6
3ED67A,0.07,2.5,11.4,12.6
3ED58A,0.62,15.6,31.4,9.7
EP5542T,74.7,60.9,97,203.4
C11CJ56301A1,112,155,85,111.6
C11CF66001A7,79,110,91.5,89.5
C11CJ55301A1,95,124.9,85.5,111
C11CF66001A6,78,100,91.5,100
TL-SM321A-2,0.06,12.25,8.15,3.85
DN-95109,0.1,6,11.6,
C13T00S44A10,0.13,17.8,5.8,5.6
C13T00S24A10,0.13,17.8,5.8,5.6
C13T00S14A10,0.13,17.8,5.8,5.6
C13T00S34A10,0.13,17.8,5.8,5.6
SDSQXAF-032G-GN6GN,0.01,0.66,10.16,15.24
CDE5520,23.9,24.5,142,91
1TJ12A#BHC,7.25,19.8,49.5,48
20N2XC0,0.97,40,12.5,12.5
40N9473,22.7,55.6,44,51.9
40N9423,19.1,55.6,33.2,51.9
29S0013,10.5,42,41,28
29S0063,10.5,42,41,28
29S0163,14.7,46.5,42,38.5
29S0213,14.7,46.5,42,38.5
29S0160,1.47,46.5,42,38.5
C33S045739,8.71,32.4,32,25.1
7PS86A#B19,27.3,49.7,59.7,53.9
7PS84A#B19,27.3,49.7,59.7,53.9
SDCG3/512GBSP,0.01,0.56,10.16,11.43
SDCG3/512GB,0.01,0.56,10.16,11.43
SDCG3/256GBSP,0.01,0.56,10.16,11.43
40N9173,22.7,55.6,44,51.9
ZIPRT3015298,2.91,,,
W1144A,2.2,29.59,38.71,19.1
6ZA18AE,0.06,3.65,11.63,10.09
6ZA17AE,0.05,3.65,11.63,10.09
6ZA11AE,0.05,3.7,11.3,11.5
5280,9.1,108,57,9
DS640TJ1,0.85,16.2,37.7,7.6
SDSQQVR-064G-GN6IA,0.05,8,4,6.9
C13T06B140,0.13,17.5,5.9,5.8
C13T06B440,0.13,17.5,5.9,5.8
C13T06B240,0.13,17.5,5.9,5.8
C13T06B340,0.13,17.5,5.9,5.8
VFM-C6X4/V2,9.1,18,78,24.5
DMC1342S,6.62,8.89,18.54,83.06
CZ1005,0.1,9.2,11.3,12.1
PTP710BTHZ1,1.2,9.8,19.8,21
DN-81210,0.04,3,11.5,
7KW64A#B19,17.4,29.8,49.8,51
SDCS2/512GBSP,0.01,10.16,0.56,11.43
J9150D-ST,0.05,11.5,9,3.1
T3U51A#B19,59.5,73.6,78.6,65.2
DN-81000-04,0.04,3.1,11.8,
STHR1000800,0.2,14.5,8.95,3.65
C12C934461,,8.5,5.5,11
C3220Y0,0.86,40,12.5,12.5
C3220C0,0.86,40,12.5,12.5
C3220K0,0.86,40,12.5,12.5
TS-431XEU-2G/56TB-TE,5.78,,,
TS-431XEU-2G/48TB-TE,5.78,,,
C13T03A94010,,37,17,15
101R00664,0.97,9.4,34.29,26.67
E797162,12.4,11.6,72.6,72.6
SDCZ62-032G-G35,0.01,1.17,7.6,12.7
SDCZ62-128G-G35,0.01,1.17,7.6,12.7
SDCZ62-064G-G35,0.01,1.17,7.6,12.7
115R00136,1.46,44.5,21,19
W1120A,1.56,29.1,35.8,17.6
W1Y45A#B19,22.1,37.9,49.7,58.3
W1Y44A#B19,22,37.9,49.7,58.3
W1A30A#B19,15.5,39.8,49.7,49
2094492,0.81,20.3,22.2,9.7
T3U44A#B19,52.9,73.6,78.6,55.8
VFM-F10/WH,26.4,9,70,140
E5K49A,0.05,13.34,17.78,2.54
115R00143,4.52,59,22,20.5
104R00256,0.6,53.9,12.6,11.4
2091152,0.84,27.5,26.5,9.2
HDWR21CUZSVA,0.92,6,13.6,18.9
27X0823,0.42,30.5,20.3,16.5
VFM-W10X6,7.5,4,108,23.5
VFM-W8X6T,7.5,23.5,88,5.5
VFM-W8X6,6.8,23.5,88,4
VFM-W4X4T,4,23.5,48,5.5
VFM-W4X4,3.5,23.5,48,4
W1B47A,0.12,13.97,20.96,5.08
C240X30,0.24,10.2,14.1,7.2
C13T03M140,0,15.5,5.9,5.9
497N05762,0.2,16,10,3.5
78C2UYE,1.89,19.6,49.8,22.3
B232000,0.86,39.9,13.7,18.1
58D0ZA0,2.5,16,49.5,39.5
78C0ZV0,24.3,,,
B282X00,0.99,39.9,13.7,18.1
58D0Z00,2.5,16,49.5,39.5
58D0Z0E,2.5,16,49.5,39.5
3005461,1.3,,,
C13T00P240,0.13,17.8,5.8,5.6
C13T00P440,0.13,17.8,5.8,5.6
C13T00P140,0.13,17.8,5.8,5.6
50G0125,29.9,65,55,56.5
C13T16364511,0.18,32,19.5,2
RM2-6772-000,0.04,,,
108R01492,3.39,46.74,51.82,20.83
CQ890-67108,0.22,13.6,17.7,8.6
P2V25A,0.11,14.3,2.8,13.2
56F0ZA0,1.93,38.5,14,30
C13T02V14020,0.04,2.6,10.2,14.5
CE515A,3.5,24.7,59.6,23.5
L0H22A,0.32,10,43.3,10.2
006R03460,0.74,37,16,12
C13T671600,0,18.3,8.1,7.3
L0H21A,6,24.7,59.7,56.4
DK11247,,52,41,15.5
W6B55A#B19,126,77,195.5,71
P2V27A,0.11,14.3,2.8,13.2
SV140A,1.14,25.4,34.5,13.1
5851-7202,0.24,16.5,24.1,3.9
SU672A,2.44,23.6,36.1,14
SS782A,2,18.9,52.4,11
AUV320-128G-RBKBL,0.02,10.16,11.43,1.03
SS546A,1.2,13.5,55.4,13.7
SU322A,1.7,25.9,42,10.4
SU138A,0.82,18.1,38.7,7.9
SU323A,1.75,25.9,42,10.4
SV134A,0.88,26.2,35.9,9.6
SU418A,1.1,11.6,43.9,16.8
SS686A,1.5,13.8,58.1,11.1
497K18040,2.12,26.5,35,30
W1B45A,0.11,13.97,20.96,5.08
L2762A#B19,20.3,,,
L2763A#B19,26.5,57.7,79.4,76.5
76C0PK0,1.1,55.7,11,14.3
76C0PV0,1.1,,,
76C00K0,0.64,49,8,8
76C00C0,0.53,49,8,8
C13T04D100,0.18,11.5,7,15
C13T04D000,,15.5,4.5,4.5
2000931,1.41,25.4,17.9,18.4
C13T02G14020,0.06,14.2,10,4.5
C13T03R140,0.21,17.5,5.8,5.8
C13T03R340,0.13,17.5,5.8,5.8
C13T00R440,0.13,17.5,5.8,5.8
C13T00R140,0.13,17.5,5.8,5.8
C13T37824010,0.03,3,10,14
C13T37864010,0.04,3.3,10.2,14.5
C13T37834010,0.04,3.3,10.2,14.5
DA-70243,0.07,14,8.5,
T0B30A,0.72,4.83,21.72,9.93
Y1G14A,1,7.5,13.6,5
W1B43A,1.98,32.39,49.21,14.92
SDSSDH3-2T00-G25,0.07,1.56,10.04,13.1
108R01486,1.15,16.76,44.96,19.05
097S04908,28,75.01,75.01,47.7
C13T66444A,0.11,4,4,13.5
71B20Y0,0.2,10.2,14.1,7.2
CF470X,1.62,16.3,37.8,19.2
26K72B,4.58,19.1,47.5,35.4
M2-HDD-DUPLICATOR-N1,0.14,9,16,9.5
20G05A,7.3,24.5,60,49.9
CZ102AE#BHK,0.05,3.7,11.3,11.5
588K9B#687,4.58,19.1,47.5,35.4
20L8800,15,79,74,27
20L8801,27,84,76,38
20L8810,18,63,68,33
0X340H31E,0.91,,,
TVS-H674-I5-32G/48TB IW,7.89,,,
CLTR406,1.19,17.4,33.9,29.8
4S6W7NE,0.05,2.39,11.48,10.01
4S6W8NE,0.05,2.39,11.48,10.01
4K0V0NE,0.06,2.39,11.48,10.01
4K0U8NE,0.06,2.39,11.48,10.01
4K0U7NE,0.06,2.39,11.48,10.01
4K0U9NE,0.06,2.39,11.48,10.01
870B6110C0Y3NL0,18.5,49.4,54.9,42
MLT-R116,0.73,9.5,34.2,26.6
7PS86A,27.3,49.7,59.7,53.9
HGE261V5,0.13,45.5,27.5,22
SPATIUM M482 PCIE 4.0 NVME M.2 2TB,1.3,28.9,21.9,10.3
AD400E-AT,1.71,30,6.5,25
AD004E-AT,1.71,30,6.5,25
G3Q47A,9.2,27.8,43.8,46.6
SDG3/1TB,0.01,0.56,10.16,11.43
SDCG3/1TBSP,0.01,0.56,10.16,11.43
SDCG3/1TB,0.01,0.56,10.16,11.43
IKVP80ES/7680G,0.45,1.24,12.95,18.42
IKVP80ES/3840G,0.45,1.24,12.95,18.42
4RA87F#ABU,19,37.9,49.7,58.3
2Z605F#ABU,10.5,27.4,44.3,46.4
4627,36.5,108,77,18
W2192X,0.74,9.6,36.3,11.1
W2190X,0.77,10.2,36.3,11.1
W2193X,0.74,9.6,36.3,11.1
W2191X,0.74,9.6,36.3,11.1
SDR2V6/512GB,0.01,0.56,10.16,11.43
SDR2V6/256GB,0.01,0.56,10.16,11.43
4S6W9NE,0.05,2.39,11.48,10.01
4S6W6NE,0.05,2.39,11.48,10.01
86UN640S,58.4,22.8,211.5,121.5
TVS-H674-I5-16G/48TB-IW,7.89,,,
TVS-H674-I5-16G/24TB-IW,7.89,,,
FCREADMICRO3V2,0.05,12.5,22.5,
65UN640S,27.8,17.2,160,97
60005924,34.5,18.5,162.8,94.2
60005923,20.3,15.6,133.2,81.9
60005922,17.5,15.6,120.2,71.9
60005921,14.2,15.6,105.6,63.2
MO-SFP-100-LC-SM40,0.04,10,6,3
MO-MTB-SR,0.04,,,
MO-UF-SM-1G-LH,0.02,10,6,3
MO-XBR-000238,0.02,,1.2,
MO-G-SFP-BX-U-3KM,0.07,10,6,3
MO-G-QSFP28-100G-SR4,0.04,10,6,3
MO-SP31B33CDL10,0.03,,,
MO-UF-T-10G,0.04,10,6,3
MO-T8613,0.04,17,3.5,4
MO-SFP-GIG-BX-U,0.04,10,6,3
MO-SFP-1GE-LX,0.04,,,
MO-SFP10G-SR-ZZ0101F,0.03,6.7,10.6,2.4
MO-G-SFP-BX-D-40KM,0.03,10,6,3
MO-FG-TRAN-LX,0.04,,,
MO-OMXD30000,0.02,6.7,10.6,2.4
MO-DS-SFP-FC16G-LW,0.08,,,
MO-G-SFP-1G-SX,0.05,10,6,3
MO-SFP-1000T,0.04,6.5,10.6,1.5
MO-PAN-SFP-SX,0.04,,,
MO-SFP-GIG-BX-D,0.04,10,6,3
MO-G-SFP-BX-D-3KM,0.07,10,6,3
MO-G-SFP-10G-ER,0.02,10,6,3
MO-CM-SFP-1G-LX,0.04,,,
MO-455883-B21,0.03,6.6,10.7,2.3
MO-02311BJJ,0.04,,,
STHS24000800,3.3,24,30.2,14.3
STHA24000800,1.6,24,18,12
PW.1.21007.0002,64,71.2,88.7,78
CLT-C506L,0.96,12.8,35.8,11.2
MLT-R304,1.54,22.1,39.9,14
C625V_ZPM,525,73.5,70,83.8
90DD02S0-M09000,0.33,9.9,17.4,3.9
C11CJ67425,5.91,40.8,44,24.7
405U8B#687,10.2,29.8,50.6,40.8
STMF500400,0.17,14.5,9.15,3.25
STMF2000400,0.17,14.5,9.15,3.25
STMF4000400,0.17,14.5,9.15,3.25
STMF1000400,0.17,14.5,9.15,3.25
CLT-C809S,0.97,13.5,54.7,14.2
TS-H1677AXU-RP-R7-32G,22.1,,,
IFP7533-G,60.5,22.5,186.3,114
MFCL6915DNZU1,24.2,58,58.8,62.8
HLL6210DWQK1,16,,,
HLL6410DNQJ1,16,,,
HLL6415DNZU1,15.9,49.4,49.7,42.2
MFCL6910DNQK1,24.2,58,58.8,62.8
DCPL5510DWQK1,20.5,49.7,54.9,58
IFP6552-2F,149.9,22.5,161.8,106
IKLP50/256GB,0.05,1.07,12.95,18.42
MLT-R204,4.32,28.3,54.4,34.6
50UL3J-M.AEK,14.4,15.2,121.5,77.5
55UL3J-M.AEK,18.8,16.2,136,81
43UL3J-M.AEK,10.9,14.2,105.5,66
HLL8240CDWQJ1,19.8,53.5,48.8,37
HLL8230CDWQJ1,19.7,53.5,48.8,37
405U3B#687,10.2,29.8,50.6,40.8
5A0S3B#687,8.5,28.3,48.7,40.9
IKVP50C/512GB,0.04,1.3,12.95,18.42
IKVP50/512GB,0.04,1.3,12.95,18.42
TS-453E-8G/32TB-IW,4.3,,,
TS-453E-8G/16TB-IW,4.3,,,
DCPL3520CDWZU1,21.8,53.6,49.7,49.7
DCPL2627DWXLZU1,13.7,51.7,58,43.4
TS-453E-8G/24TB-IW,4.3,,,
MFCL2827DWXLZU1,15.2,51.7,58,43.4
HLL3240CDWZU1,18,48.8,48.8,37
HLL2445DWZU1,9,28.3,43.8,51.9
4XB1M86955,0.09,14.4,17.7,5.3
IKD500S/64GB,0.08,2.54,12.7,6.99
IKD500SM/16GB,0.08,2.54,12.7,6.99
IKD500SM/256GB,0.08,2.54,12.7,6.99
IKD500S/128GB,0.08,2.54,12.7,6.99
IKD500S/32GB,0.08,2.54,12.7,6.99
IKD500SM/8GB,0.08,2.54,12.7,6.99
IKD500SM/64GB,0.08,2.54,12.7,6.99
IKD500S/512GB,0.08,2.54,12.7,6.99
IKD500SM/32GB,0.08,2.54,12.7,6.99
IKD500S/8GB,0.08,2.54,12.7,6.99
IKD500S/256GB,0.08,2.54,12.7,6.99
097N02463,,27,24,12.5
097N02443,0.27,22.61,16,4.57
097N02441,8.94,55.88,52.58,21.59
6C400NE,,4.8,12.3,17.1
DELL-P7524QT,76.6,,,
DELL-P5524QT,41.9,,,
4RA88F,19,37.9,49.7,58.3
IKKP200C/64GB,0.05,1.24,12.95,18.42
IKKP200C/16GB,0.05,1.24,12.95,18.42
IKKP200C/256GB,0.05,1.24,12.95,18.42
IKKP200C/8GB,0.05,1.24,12.95,18.42
IKKP200C/32GB,0.05,1.24,12.95,18.42
IKKP200C/128GB,0.05,1.24,12.95,18.42
LH5560UHS-B1AG,22.9,13.6,139,85
65UH5N-E,30.4,17.2,160,97
43UN640S,11,14.2,105.5,66
49UH5N-E,16.1,15.2,121.5,73.6
43UH5N-E,12.8,14.2,105.5,66
55UN640S,19,16.2,136,81
75UN640S,41.5,20,188,111.5
55UH5N-E,20.5,16.1,136,80.1
L2718A#101,0.22,16,24,5
588K4B#687,6.19,24.2,47.5,40.5
60005069,,31,235,140
60005929,96.5,31,235,140
DA-71547,0.13,11,9.8,1.5
S0923300,0.04,10.2,1.8,5.6
1102Z03NL0,41,56.7,70.2,56.1
136-49,0.12,2.3,8.2,16.4
STLV2000201,0.25,14.9,10.6,3.75
STLV5000200,0.35,14.9,10.6,4.5
FW-55BZ35L/TM,23,16,136.2,84
FW-50BZ30L/TM,17,14.1,124,78.2
FW-55BZ40L,23,16,136.2,84
FW-43BZ30L,14,14.1,107,69.5
5449C008,10.2,47.7,28.1,52.6
4462C088,7.7,47.7,22.3,48.2
IFP7533,60.5,114,186.3,22.5
90DD02Q0-M09000,0.33,9.9,17.8,3.9
TVS-H674-I5-32G/24TB-IW,7.89,,,
75UH5J-M,51.2,22.8,181.6,112.3
MLT-D1042X,1.16,15.6,33.6,14.4
SS577A,2.08,15.5,51,11.2
SS656A,3.25,18.1,60.3,15
50M7093,32.3,57.5,63.6,60
38S0513,17.2,43,47,42.2
28N93A,6.8,28.4,49.7,58.3
6QN55A,21.7,60.8,58,46.2
DA-81020,4,40.5,27.5,29
DA-81021,4,40.5,27.5,29
ZIPRD3017407,0.74,,,
NBDVRS2SD32GBU3,0.01,2,4,6
NBDVRS2SD128GBU3,0.01,2,4,6
ZIPRT3017405,2.45,,,
NBDVRS2SD64GBU3,0.01,2,4,6
32D0815,24.4,83.4,85,40
W2133X,1.32,14.8,37.4,18.8
W2132A,1.23,14.8,37.4,18.8
W2132X,1.32,14.8,37.4,18.8
W2131Y,1.43,14.8,37.4,18.8
W2131X,1.32,14.8,37.4,18.8
W2130X,1.32,14.8,37.4,18.8
W2132Y,1.43,14.8,37.4,18.8
W2133Y,1.43,14.8,37.4,18.8
W2131A,1.23,14.8,37.4,18.8
W2130Y,1.55,14.8,37.4,18.8
527F9A,0.7,6.7,28,39.3
W2200A,0.59,9.2,36.4,12.1
W2202X,0.64,9.2,36.4,12.1
W2203X,0.64,9.2,36.4,12.1
W2200X,0.67,9.2,36.4,12.1
W2201A,0.59,9.2,36.4,12.1
TS-253E-8G+2XST4000NE001_UK,2.32,,,
TS-253E-8G+2XST4000VN006_UK,2.32,,,
TS-253E-8G+2XST8000VN004_UK,2.32,,,
LH4354UHS-B1AG,18.6,13.9,107,69
LH6554UHS-B1AG,31,18.2,161.5,100
LH9854UHS-B1AG,,142.5,233,28
LH9852UHS-B3,,30.1,234,169.2
6FW07A,4.2,24.8,39.7,24.2
DN-81200-01,0.04,12,9.3,
223R4B#629,7.55,21.8,47.4,40.8
IFP8652-1A,89.1,28,214,134
IFP6552-1A,55.4,24.5,166,104.5
6GW99F#B19,9.6,29.8,49.7,38.8
E493591,10.2,20,78.2,53
L2757A,5.4,24.8,39.7,30.3
6FW10A,5.6,24.8,39.7,30.3
49VL5G,29.3,26.3,121.4,77.8
W2110A,0.75,9.6,36.3,11.1
60005049,29.8,22.4,129.8,86
SS673A,1.45,13.8,58.1,11.1
SS628A,1.2,13.5,55.4,13.7
PM1115P2,0.36,15.2,22.8,6.8
006R04252,1.63,35.5,24.5,15.5
006R04303,1.42,35.5,24.5,15.5
006R04255,1.58,35.5,16.5,12.5
006R04250,1.67,35.5,24.5,15.5
SS721A,1.2,13.5,55.4,13.7
VB-CNF-002,36,20,120,80
PH-EC500GADMW01A,12.7,61,32.5,61
90YV0KC6-M0NA00,1.5,23.3,40.5,8.85
V510-271R,2.31,,,
KF580C36RLAK2-48,0.26,3.68,18.16,10.16
064AOTHERCGN,0.33,,,
90RC00W2-M0UAY0,2.4,20.7,40.4,13.55
MAG PANO M100RPZ,11.3,,,
RTX 4080 SUPER 16G VENTUS 3X OC,2.15,,,
V517-001R,1.64,,,
PH-EC500GADBK01A,12.7,61,32.5,61
90YV0JH8-M0NA00,1.12,22.05,36.8,6.8
31-0005G,0,,16,22
31-0020B,0,,18,24
Z790 S DDR4,1.79,27,33.5,8
V517-003R,1.09,,,
PH-ES813PBL,20,70.5,32,72.5
31-0020GN,0,,18,24
148B-HDMI-DP-8K,0.05,15,8,2
USGLITE60AX-EU0101F,1.48,26.6,25.9,7.3
31-0015Y,0,,18,24
31-0020Y,0,,18,24
90YV0IV2-M0NA00,2.1,23.3,40.5,8.85
90YV0IG2-M0NA00,2.1,23.3,40.5,8.85
PH-EC500GADBK01B,12.7,61,32.5,61
PH-EC360ATGDMW02,7.84,28.2,51.3,53.7
RTX 4080 SUPER 16G GAMING X SLIM WHITE,2.33,41.1,27,10.7
GEFORCE RTX 4090 GAMING X TRIO 24G,3.09,,,
WFS-USB,0.08,3.99,11.43,17.78
43357,1.5,24,24,6.5
PH-EC500GABBK01,12.7,61,32.5,61
PH-FF140DRGBABK01,0.21,2.4,17.5,16.5
PH-EC600PSCBK01,15.5,32.5,61,61
PH-FF120DRGBABK01,0.17,2.4,15.5,14.7
PH-ES916EBK,47,73,90.5,38
PH-ES217ABK02,5.9,59,27,36
PH-ES217AAG02,5.9,36,27,59
PH-ES314ETGGS,10,46.3,30.8,54
PH-EC200ATGDBK01,6.6,41.5,28.5,48.5
PH-C350ICR01,0.65,13.5,13.5,6.5
PH-GO360T30DAG02,2.82,,,
PH-ES217EAG02,7.8,36,27,59
PH-FF140RGBPBK01,0.09,2.5,18,19.5
PH-ES314ETGBK,10,46.3,30.8,54
PH-ES217EBK02,7.8,36,27,59
PH-ES121XTDGS01,5,44.4,24.5,28.5
GT 1030 2GHD4 LP OC,0.54,,,
Z790 AORUS PRO X WIFI7,2.28,27,33.5,8
B650 UD AC,1.56,27,33.5,8
B760 A MASTER DDR4,2.44,27,33.5,8
RTX 4070 VENTUS 2X WHITE 12G OC,0.97,,,
DN-95348-2,3.57,50,32,7.5
CV10KM,0.16,11.9,5.9,16
90YV0I70-M0NA00,0.48,5,22.8,16.3
90RC00V2-M0UAY0,1.06,12.1,12.4,19.7
90IG08U0-MO0B00,,25.7,33.5,8.1
USB3EXTENDER10M,0.3,,,
RTX 3050 VENTUS 2X 6G OC,0.61,,,
OBSERVATORY RGB WHITE,,49.5,26.5,49
N820X-10M,0.1,1.27,17.78,1.9
MPG GUNGNIR 110R,9.25,50.3,28.7,52.6
B760M AORUS ELITE X AX,1.66,26.8,27,6.8
90RC00V0-M0UAY0,1.06,12.1,12.4,19.7
90DA0090-B09000,0.26,12.4,14.4,3.7
90DA00D0-B09020,0.7,12.5,17.2,9
90DA0093-B09020,0.7,12.5,17.2,9
90DA0093-B09000,0.26,12.4,14.4,3.7
90DC00I3-B19000,13.8,30.9,59.2,59.8
90DA0090-B09020,0.7,12.5,17.2,9
90DC00I0-B19000,13.8,30.9,59.2,59.8
90DC00F0-B39020,25.7,72,35,71.5
SRWF6U,32,43,78.99,87
OR41GI-NETWORK-CARD,0.11,20.7,14.4,3.8
FWA505-EU0102F,2.45,17.1,25.2,11
B650 AORUS ELITE AX V2,2.01,27,33.5,8
90DC0093-B19000,13.2,55.7,38,52.5
Z790 D,1.8,27,33.5,8
90DC0090-B19010,13.2,55.7,38,52.5
KF560C30BWEA-16,0.06,1.4,5.72,17.15
KF560C30BW-32,0.05,1.4,5.72,17.15
KF564C32BW-16,0.05,1.4,5.72,17.15
KF564C32BBEK2-32,0.1,1.4,9.53,17.15
KF564C32BBEA-32,0.06,1.4,5.72,17.15
KF564C32BBE-32,0.05,1.4,5.72,17.15
KF564C32BBE-16,0.05,1.4,5.72,17.15
KF564C32BBA-16,0.06,1.4,5.72,17.15
KF568C34BBEK2-32,0.1,1.4,9.53,17.15
KF568C34BBEAK2-32,0.13,1.4,12.19,17.15
KF564C32BWEAK2-32,0.13,1.4,12.19,17.15
KF564C32BBAK2-64,0.13,1.4,12.19,17.15
KF560C30BWEA-32,0.06,1.4,5.72,17.15
KF560C30BWE-32,0.05,1.4,5.72,17.15
KF560C30BW-16,0.05,1.4,5.72,17.15
KF560C30BBEAK2-64,0.13,1.4,12.19,17.15
KF568C34BWEAK2-32,0.13,1.4,12.19,17.15
KF568C34BWEA-16,0.06,1.4,5.72,17.15
KF568C34BBK2-32,0.1,1.4,9.53,17.15
KF568C34BBEA-16,0.06,1.4,5.72,17.15
KF564C32BWEK2-64,0.1,1.4,9.53,17.15
KF564C32BWEK2-32,0.1,1.4,9.53,17.15
KF564C32BWA-32,0.06,1.4,5.72,17.15
KF564C32BBK2-32,0.1,1.4,9.53,17.15
KF560C30BWK2-32,0.1,1.4,9.53,17.15
KF560C30BWEAK2-32,0.13,1.4,12.19,17.15
KF560C30BWAK2-64,0.13,1.4,12.19,17.15
KF560C30BWAK2-32,0.13,1.4,12.19,17.15
KF560C30BBEAK2-16,0.13,1.4,12.19,17.15
KF560C30BBA-16,0.06,1.4,5.72,17.15
KF560C30BB-16,0.05,1.4,5.72,17.15
KF568C34BWK2-32,0.1,1.4,9.53,17.15
KF568C34BBE-16,0.05,1.4,5.72,17.15
KF564C32BWEAK2-64,0.13,1.4,12.19,17.15
KF564C32BWE-32,0.05,1.4,5.72,17.15
KF564C32BWAK2-64,0.13,1.4,12.19,17.15
KF564C32BB-32,0.05,1.4,5.72,17.15
KF560C30BWEK2-32,0.1,1.4,9.53,17.15
KF560C30BBE-32,0.05,1.4,5.72,17.15
KF560C30BBA-8,0.06,1.4,5.72,17.15
KF560C30BBA-32,0.06,1.4,5.72,17.15
KF568C34BWE-16,0.05,1.4,5.72,17.15
KF564C32BWK2-64,0.1,1.4,9.53,17.15
KF564C32BBEAK2-64,0.13,1.4,12.19,17.15
KF564C32BBAK2-32,0.13,1.4,12.19,17.15
KF564C32BBA-32,0.06,1.4,5.72,17.15
KF560C30BBEK2-32,0.1,1.4,9.53,17.15
KF560C30BB-8,0.05,1.4,5.72,17.15
KF560C30BB-32,0.05,1.4,5.72,17.15
KF568C34BWEK2-32,0.1,1.4,9.53,17.15
KF564C32BWE-16,0.05,1.4,5.72,17.15
KF564C32BW-32,0.05,1.4,5.72,17.15
KF564C32BBEK2-64,0.1,1.4,9.53,17.15
KF564C32BBEAK2-32,0.13,1.4,12.19,17.15
KF560C30BWA-32,0.06,1.4,5.72,17.15
KF560C30BWA-16,0.06,1.4,5.72,17.15
KF560C30BBK2-16,0.1,1.4,9.53,17.15
KF560C30BBEK2-16,0.1,1.4,9.53,17.15
KF560C30BBEA-16,0.06,1.4,5.72,17.15
KF560C30BBAK2-16,0.13,1.4,12.19,17.15
KF568C34BWAK2-32,0.13,1.4,12.19,17.15
KF568C34BWA-16,0.06,1.4,5.72,17.15
KF568C34BW-16,0.05,1.4,5.72,17.15
KF568C34BBA-16,0.06,1.4,5.72,17.15
KF564C32BWK2-32,0.1,1.4,9.53,17.15
KF564C32BWAK2-32,0.13,1.4,12.19,17.15
KF564C32BBK2-64,0.1,1.4,9.53,17.15
KF560C30BBE-8,0.05,1.4,5.72,17.15
KF568C34BBAK2-32,0.13,1.4,12.19,17.15
KF568C34BB-16,0.05,1.4,5.72,17.15
KF564C32BWEA-32,0.06,1.4,5.72,17.15
KF564C32BWEA-16,0.06,1.4,5.72,17.15
KF564C32BWA-16,0.06,1.4,5.72,17.15
KF564C32BBEA-16,0.06,1.4,5.72,17.15
KF560C30BWK2-64,0.1,1.4,9.53,17.15
KF560C30BWE-16,0.05,1.4,5.72,17.15
KF560C30BBEA-8,0.06,1.4,5.72,17.15
KF560C30BBEA-32,0.06,1.4,5.72,17.15
NLWH-2M-CAT8-PATCH,0.09,22,19,1.5
NLWH-5M-CAT8-PATCH,0.21,20,18,3
NLWH-50C-CAT8-PATCH,0.04,22,20,0.8
NLWH-1M-CAT8-PATCH,0.06,22,19.5,1
NLWH-15M-CAT8-PATCH,0.6,30.5,21,5
NLWH-12M-CAT8-PATCH,0.5,31,22,4.5
H610I,0.59,18,22.2,6.5
90YV0KQ0-M0NA00,0.65,21.8,30,5.5
90SB0C70-M0UAY0,1.3,,,
B550M AORUS ELITE AX,1.27,26.5,26.5,6.5
TL-ARCHERMR600,,22.3,30.7,7
90YV0KF3-M0NA00,1.75,23.3,40.5,8.85
CMHOOK1UN5PK,0.5,17,24,4.5
PRIME H510M-A R2.0,1.03,27,26,5.15
RTX 4060 VENTUS 2X WHITE 8G OC,0.78,,,
GV-R79GREGAMING OC-16GD,0.19,39.8,23,8.5
90YV0J91-M0NA00,2.2,22.6,42,8.7
90YV0J90-M0NA00,1.7,23.3,40.5,8.85
JZ320-61001,0.41,18,19,6
B760M GAMING,0.94,26.8,27,6.8
441-55,0.04,2,8.8,16
Z790 D AX,1.84,27,33.5,8
MAG PANO M100R PZ WHITE,11.3,,,
Z790 EAGLE AX,1.81,27,33.5,8
PH-XT523V1_DWT01,9.55,,,
90YV0KA2-M0NA00,2.71,14.48,31,8.75
509-20,0.05,2,7.5,19.5
509-02,0.05,2,7.5,19.5
KF568R34RB2K8-256,0.19,16.76,10.41,3.56
KF568R34RB2K4-128,0.11,16.76,10.41,3.56
KF568R34RB2-32,0.04,1.4,9.53,17.15
KF568R34RBK8-128,0.19,16.76,10.41,3.56
KF564R32RBK8-256,0.19,16.76,10.41,3.56
KF564R32RBE2-32,0.04,1.4,9.53,17.15
SPSMLCSC-OS2-10M,0.04,20,22,0.5
SMDOS2SCSC3M,0.04,20,22,0.4
KF560R32RBEK8-128,0.19,16.76,10.41,3.56
KF556R28RBEK8-128,0.19,16.76,10.41,3.56
KF560R32RBEK8-256,0.19,16.76,10.41,3.56
KF556R28RBE2K8-256,0.19,16.76,10.41,3.56
KF556R28RBE2K4-128,0.11,16.76,10.41,3.56
KF556R28RBE2-32,0.04,1.4,9.53,17.15
DS-72221-4GE,,63,75.5,20.5
DS-72221-1US,,63,75.5,20.5
DS-72221-7US,,63,75.5,20.5
DS-72220-2GE,19.1,,,
DS-72220-1GE,19.1,53,58.5,18.5
DS-72221-7GE,,63,75.5,20.5
