sku,weight (kg),depth (cm),width (cm),height (cm)
PDX332IEC-240,2.3,,43.2,15.2
AR3340,183.2,,,
PM6-GR,,16.5,31,6.5
NBES0304,,,23.2,4.8
AR4024IX432,181.7,120,80,149
AP8758,0.49,10.2,15.2,43.2
KVM0116A,3.9,33,61.9,14.6
EPDU1132M,4.48,11,16,132
SURTD2200XLIM,63.6,,,
AP6003A,2.55,,,
EPDU1116B,2.98,11,16,132
APCRBC151,10.91,49.5,36.8,15.2
PM1W-GR,,8.8,7,10.6
AR3157,184.1,,,
EPDU1132B,4.36,11,16,132
AR3107,157.7,,,
AP98896F,2.12,,,
PM1W-UK,,8.8,7,10.6
NBAC0303NA,28.2,7.13,9.76,2.44
AP7724,9.36,,,
BE650G2-UK,4.5,44.1,18.6,19
AP5821,0.08,,23.5,5
KVM-USB,0.16,12.9,12.5,4.2
AP9877,0.46,10.2,10.2,30.5
AP8716S,2.16,,8,30
AP9880,0.46,10.2,10.2,30.5
AP9879,0.46,10.2,10.2,30.5
AP9881,0.46,10.2,10.2,30.5
AP8706S-WW,1.35,5.5,7.5,24
AP9876,0.3,20.3,10.2,5.1
AP9870,0.3,20.3,10.2,5.1
AP9899,0.61,,30.5,10.2
SMX040,0.91,,,
AP8760,0.51,4.5,23,23
AP7850B,3.98,,,
AP8959EU3,8.59,,,
AP8653,10.5,,,
AP7822B,5.41,,,
AP7553,6.48,,,
AP7554,6.48,,,
AP8858EU3,4.92,,,
AP8886,11.6,,,
AP7922B,6.55,,,
AP7552,5.77,,,
AP8453,10.5,,,
NBES0302,0.31,,,
PM6U-GR,,16.5,31,6.5
PM5U-GR,,13,40.5,5.8
PM5T-GR,,13,40.5,5.8
PM5-UK,,13,40.5,5.8
PMF83VT-UK,,17,36.5,6.5
PMH63VT-UK,,6.5,16.5,31
PM5-GR,,13,40.5,5.8
PM8-GR,,17,36.5,6.4
PM5V-UK,,13,40.5,5.8
PM6U-UK,,6.5,16.5,31
APCRBC118,25.2,76.1,39.3,22.8
APCRBC124,5.84,27.5,23.4,14.6
RBC2,2.77,21.3,17.5,8.9
APCRBC117,25.2,76.1,39.3,22.8
APCRBC143,25.2,49.5,29.3,25.3
APCRBC133,12.6,49.5,36.8,15.2
SRT192RMBP2,105.5,100,60,42
SYBTU1-PLP,,86.4,20.3,22.9
APCRBC105,26.4,73.7,31.1,27.9
SMX120RMBP2U,63.6,86.9,59.6,24.3
APCRBC106,2.77,21.3,17.5,8.9
SMX48RMBP2U,35.5,62,58.9,24.6
APCRBC116,11.4,54.6,29.2,19
XBP48RM1U-LI,16.4,20,60,85
SRT72BP,37.8,83.1,59.9,23.9
APCRBC110,2.95,21.3,17.5,8.9
APCRBC135,5.14,22.9,22.9,22.9
APCRBC123,5.53,27.5,23.4,14.6
RBC17,,8.9,17.5,21.3
APCRBC115,11.7,54.6,29.2,19
APCRBC132,10.9,49.5,36.8,15.2
APCRBC140,37.3,78.1,40.9,22.6
BE550G-GR,6.93,40,27.9,12.7
SRV72BP-9A,40.2,56.5,23.5,32.5
BK500EI,7.05,36.8,24.1,17.8
SRT96BP,44.5,83.1,59.9,23.9
BV1000I,6,37.3,14.3,23.7
BR1300MI,11.8,22.5,48.5,33
BE400-GR,5.6,36.6,30,13.2
BX500CI,5.68,29.1,19,25.7
BE400-UK,5.6,36.6,30,13.2
BE550G-UK,6.5,,,
BX950UI,8.99,44,24.5,29.5
BV650I,4.8,37.3,14.3,23.7
BR650MI,7.4,14.3,44,25.5
BE850G2-UK,5,44.1,18.6,19
BK350EI,7.05,36.8,24.1,17.8
SUA1000RMI1U,25.4,77.5,55.9,19.1
SMX2200HV,47.7,63.3,58.6,33
BX700UI,6.5,34,29.5,27.5
SMX750INC,26.4,62,58.9,24.6
BR900MI,8,14.3,44,25.5
BE700G-UK,7.84,,,
BV800I-GR,5.6,14.3,37.3,23.7
LE600I,3.4,,,
LE1200I,4.5,,,
JW170A,0.86,22.5,22,5.5
90LM0560-B01170,5.5,12.7,55.9,41.5
RS300-E10-RS4,19.01,,,
VZ229HE,3.8,12.8,56.8,49
90MP00N0-BKEA00,0.81,13.6,35.6,4
MB16AP,3.1,7.6,43.4,31
90LM0510-B01E70,8.7,20.9,68.8,55.8
MB16ACE,1.65,2.99,17.1,11.4
90MP01L0-BMUA00,0.1,10,3,5
90MP0100-B0UA00,0.01,9,13.1,2.5
VA279HAL,8.3,20.3,71,45.8
VA229NR,5.1,44.2,56.6,12.4
PB278QV,11,22.4,75.5,47
VG27VQ,8.71,8.23,27.1,22
90LM05F0-B01E70,9.3,21.3,69.2,55.8
90SW00R0-M0EAY0,,19,40,59.2
90LM04G0-B01370,8.2,19,70,45.8
90LJ0080-B00520,0.88,9.5,17,13.5
90LM0381-B03170,3,7.6,43.4,31
MB16ACM,3,7.6,43.4,31
90MP00U1-B0UA00,0.11,12.6,6.7,4.5
90SB06H0-M0UAY0,2.32,,,
90SB06M0-M0UAY0,1.3,,,
90SW0080-M0EAY0,7.49,,,
90SB06T0-M0UAY0,0.52,,,
90SB0660-M0UAY0,1.62,,,
90MP01C0-B0UA00,0.18,35,28,1.2
90MP00K1-B0UA00,0.92,49.6,11,8.1
90LJ00C0-B00520,1.6,14.2,22.4,19
90LJ0070-B10120,1.8,25.5,29.8,8
90LJ0070-B01120,1.6,25.5,29.5,8
VP228DE,5.3,12.3,56.5,44
VP249H,5.13,12.6,60.3,46.5
PG248Q,9.5,28,73.5,41.5
90LM0180-B01170,2,5.7,43.5,29.7
BE229QLB,,19,64.3,37.8
PB328Q,16.5,35,84.7,55.2
PA27AC,11.5,29.7,75.9,43.6
PQ22UC,8.8,7.17,28.1,22.7
BE249QLB,,18,66,42
VG278Q,8.21,7.48,27.6,18
XG438Q,22.82,11.6,42.1,28.4
MB169C+,2,5.7,43.5,29.7
VS197DE,3.9,11.4,49.5,42.1
XG32VQ,9.6,29.8,82.9,57.7
VX279C,7,11.9,68,55
MX32VQ,13.3,29.2,84.3,59.8
VA326HR,,23.16,87.32,60.17
2L-7D02DH,0.29,,,
VC986-AT,0.1,12,1.9,21.2
UC232A1-AT,0.07,12.4,4.2,15.8
VC925-AT,0.1,12,1.9,21.2
UC232A-AT,0.06,12.4,4.2,15.8
UCE60-AT,0.19,16,11.6,23.9
CL6700MW-ATA-EE,14.7,71.8,66.8,13.5
KA7169-AX,0.16,12.4,4.2,12.9
UC2324-AT,0.59,23.9,5.9,16
2L-7D02UDX3,0.53,,,
2L-5302U,0.25,,,
2L-5303U,0.34,,,
2L-5202U,0.17,,,
2L-5203U,0.24,,,
2L-5206P,0.53,,,
2L-7D02UDPX4,0.3,,,
2L-5305P,0.48,,,
2L-7D02U,0.27,,,
KA7168-AX,0.16,12.4,4.2,12.9
KA7188-AX,0.16,12.4,4.2,12.9
KA7175-AX,0.17,12.4,4.2,12.9
KA7177-AX,0.19,12.4,4.2,12.9
2L-7D02UH,0.24,,,
2L-5202P,0.21,,,
2L-5203P,0.29,,,
2L-5205U,0.36,,,
KA7170-AX,0.17,12.4,4.2,12.9
2L-7D02UD,0.31,,,
2L-5203UP,0.26,,,
2L-5206UP,0.42,,,
2L-7D03UI,0.42,,,
KA7570-AX,0.17,12.4,4.2,12.9
CS724KM-AT,1.07,28.3,6.2,17.3
US421A-AT,0.28,15,7,25.6
KH1508AI,4.08,,,
CS682-AT,0.59,16.3,7,23.5
CS1742C-AT,2.18,9.84,22.22,26.67
US224,7.8,6.1,2.17,8.78
CS22DP-AT,0.44,15.5,5.5,22.5
CS692-AT,0.55,16.3,7,23.5
CS82U-AT,0.98,23.9,5.9,17.5
CS1744C-AT,,10.16,34.29,20.96
CS84U-AT,1.69,28.3,10,17.3
CS22U-AT,0.4,15.5,5.5,22.3
VK112EU-AT,0.34,23.9,5.9,16
US224-AT,0.22,15.5,5.5,22.3
UC1284B-AT,0.15,12.4,4.2,15.8
UE350A-AT,0.29,11.9,5.9,16
UE2120,0.53,18.6,5.6,15.7
PDU41005,3.9,25,50,6.5
9H.LGVLA.TSE,10.2,,,
9H.LGWLA.TSE,13.4,,,
9H.LGVLA.FSE,10.2,,,
9H.LJ1LB.QBE,25.6,,,
9H.LGYLB.QBE,9.1,,,
9H.LHXLB.QBE,5.2,,,
9H.LG8LA.TSE,9.2,,,
9H.LJFLB.QBE,12.8,,,
9H.LHNLB.QBE,8.7,,,
9H.LHWLA.TBE,7.4,,,
9H.JLS77.13E,4.08,46,34,18
9H.LHXLB.QBU,5.2,,,
9H.LGMLB.QBE,12.6,,,
UML-323-90,15.1,8.07,35.8,23.9
FU8-0576-000,0.01,3.8,4.8,3
0333C004,0.05,1.9,11.5,
PR3000ERT2U,40.3,62,56,27.5
PR1000ERT2U,29,53,56,27.5
PR2200ERT2U,33.5,53,56,27.5
YX54N,13.1,19.7,82.7,52.8
P1917S,6.61,45.21,38.99,16.79
DELL-U3419W,16.01,,,
P2217,7.03,55.09,37.9,16.51
DELL-UP2718Q,11.6,69.49,43.51,19.99
DELL-U3219Q,,83.39,26.01,54.51
DELL-U2719DC,8.62,6.69,26.8,16.5
DELL-U4919DW,26.4,140.49,32.51,53.29
210-AEUR,3.75,,,
210-AGYH,8.27,65.41,23.8,43.99
U2412MWH-WHITE,8.27,65.41,23.8,43.99
DELL-UP3218K,,33.2,21.8,10.6
DELL-P2018H,6.12,20.1,6.61,13.9
DELL-U2520D,8.8,,,
U2415,8.35,25.5,9.53,17.8
210-AEVE,9,64.8,24.21,45.29
210-AEVC,8.35,,,
210-AQVJ,7.2,62.99,17.5,40.59
43NY4,0.22,10.5,13.8,5.7
CHWGG,0.36,12.8,30.7,4.7
G4X7T,0.2,10.9,12.8,7.2
7FHHV,0.33,12.8,29.5,5
KXTTW,0.18,7.9,15.9,4
0285K,0.18,9.1,12.7,5.9
1W2Y2,0.4,,,
5D91C,0.42,17.2,39.5,7
HMPFH,0.45,28,39,5.2
28H80,0.74,47.4,37,6
N18GG,0.42,17.2,39.5,7
TDK33,0.3,19.4,27.1,4.6
3CRH3,0.24,16.3,24.1,2.8
FGF20,0.4,,,
H76MY,0.47,17.3,39.6,7
HK6DV,0.4,,,
M1WCF,0.4,,,
RMJCY,0.75,6,36.8,47
T6V87,0.17,11.2,20.9,4
FV34F,0.4,,,
KG7VF,0.5,19.4,45.1,5.5
4F5YV,0.59,17.3,39.5,7.1
RT74M,0.34,11.7,18.7,6.8
7V69Y,0.48,17.1,39.6,7.1
RNP72,0.51,28.1,38.9,5.3
X16TW,0.24,12.7,30.1,4.8
V6VMN,0.27,12.9,30.3,4.8
MYJ96,0.42,17.2,39.6,7.2
W7NKD,0.43,17.5,39.5,7
TP1GT,0.33,12.6,30.1,4.6
3WN11,1.09,9.4,26,8.5
GD1JP,0.4,12.6,29.5,4.5
5GT3K,0.29,19.4,27.1,4.7
DXD9H,0.06,9.5,16.6,2.5
GG4FM,0.36,12.8,29.6,4.5
39DY5,0.31,17.1,42.7,5.4
P2214H,7.17,,,
G6J41,0.22,10.9,15.4,6.4
FTH6F,0.34,17.1,39.5,7
G8VCF,0.39,17.1,39.4,7
D4CMT,0.31,12.8,30.2,4.8
K00F5,0.35,10.6,14.5,6.5
5VC2M,0.45,17,39.3,7.2
K3JK9,0.5,17.1,39.3,7.2
M7R96,0.3,12.5,29.4,4.6
TXF9M,0.48,17.1,39.5,7.1
47RW6,0.6,15.6,21.5,6.3
0MFK9,0.8,15.9,25.2,6.6
2TXYM,1.92,9.4,26,8.5
6TFFF,0.21,9.4,11.7,4.6
FY8XM,0.27,12.6,30.7,4.7
CYMGM,0.36,17.2,39.6,7.4
2YK0F,0.22,8.8,14.1,4.4
Y3F7Y,0.28,16.3,24.2,2.7
MS3220-BLK,0.14,4.65,9.1,14.2
MS5320W-GY,0.19,5.3,8.75,16
G3TXG,2.23,7.6,43,28.2
VPK90,2.23,8.1,47.2,29.4
F60PX,1.59,7.6,37.3,33.6
6JGFC,2.31,7.6,43,28.2
WM2KM,2,7.6,49.4,32
PGJT2,3.34,7.6,49.3,33.2
V14VY,2.56,8.1,47.2,29.4
344RT,2.31,7.6,43,28.2
90PCH,2.15,7.6,37.3,34.7
1WWJT,2.58,8.1,45.2,29.4
C0WCT,5.33,29.7,49.4,21.3
JX26T,2.8,23.8,49.8,13.3
DFF7J,5.33,39.4,48.7,26.4
MYH06,29.6,61.5,78.9,45.4
210-AKBD,9.5,60,21.41,37.49
DUB-H7/E,0.48,22.5,15,6.8
DUB-1340/E,0.07,22.5,15,6.8
DUB-H4/E,0.38,16,10.5,9.4
DMC-700SC/E,0.67,27.4,20.8,6.8
DMC-300SC/B,0.77,27.4,20.8,6.8
DMC-300SC/E,0.77,27.4,20.8,6.8
DGS-1016D/E,1.71,32.8,18,10.8
DGS-1210-24,3.24,49.3,24.9,7.2
GO-SW-5E/E,0.15,10.5,6.5,9.8
DIS-100G-5PSW,0.7,21,18.1,7.5
DGS-3130-30TS/SI,4.47,50.6,38.8,9
DES-1024D/B,1.9,37.6,28.2,7.8
DGS-1024D/B,2.5,39.1,26.2,10.2
DES-105/B,0.45,22,17,6.2
DGS-108/B,0.65,25,20.8,6.8
DGS-3130-30PS/SI,6.32,59.5,45,11.8
DGS-1008P/E,1.69,32.8,18,10.8
DGS-1008D/B,0.28,15.8,10.4,9.4
DGS-1210-48,4.69,55.2,35.4,9.8
DGS-3130-54PS/SI,6.88,59.5,45,11.8
DES-1008D/B,0.31,15.8,10.4,9.4
DES-1008PA,1.19,25,20.8,6.8
DGS-3120-24TC/SI,4.27,51.1,34.8,9.1
