sku,weight (kg),depth (cm),width (cm),height (cm)
877619-031,21,64.8,17.4,46.25
P06781-425,,47.5,17.5,36.83
P03707-425,13.6,47.52,17.5,36.82
867963-B21,,70.7,43.46,4.29
P11051-421,21,17.4,64.8,46.25
P06454-B21,13,70.7,43.46,4.29
826567-B21,14.8,,44.55,8.74
826565-B21,14.8,73.03,44.55,8.74
867962-B21,,27.8,17.1,1.69
P06785-425,,47.5,17.5,36.83
P06049-B21,7.88,38.22,43.46,4.32
826566-B21,14.8,73.03,44.55,8.74
873830-421,,25.4,23,23.5
P19779-B21,,27.8,17.1,1.69
P20174-B21,,28.8,17.5,3.44
P06479-B21,,38.22,43.46,4.32
P03686-425,,44,19.5,48.05
P01880-B21,13,70.7,43.46,4.29
877622-421,24,64.8,44.5,17.4
867964-B21,,,43.46,4.29
P06478-B21,,38.22,43.46,4.32
P03685-425,,44,19.5,48.05
P19775-B21,,27.8,17.1,1.69
P03684-425,,44,19.5,48.05
P06419-B21,14.8,73.03,44.55,8.74
P06421-B21,14.79,28.8,17.5,3.44
P02462-B21,14.8,73.03,44.55,8.74
P02464-B21,14.8,73.03,44.55,8.74
P03630-B21,,70.7,43.46,4.29
878968-B21,,61.49,43.46,4.29
879513-B21,13,63.47,44.54,8.73
J9995A,0.93,20.65,26.16,4.45
JL074A,,17,17.4,1.7
JL383A,0.91,15.95,25.4,4.39
JL381A,2.72,24.61,44.25,4.39
JL385A,4.4,24.61,44.25,4.39
JL382A,3.31,24.61,44.25,4.39
JL170A,2.66,24.64,44.35,4.4
JH295A,3.66,16,44,4.4
JH019A,3.3,23.8,44,4.4
JH018A,2.9,23.8,44,4.4
JH017A,2.2,17.3,44,4.4
J9984A,4.4,32.26,44.25,4.39
J9983A,3.31,24.61,44.25,4.39
J9982A,0.91,15.95,25.4,4.39
J9981A,3.31,24.61,44.25,4.39
J9980A,2.72,24.61,44.25,4.39
JG963A,7,42,44,4.4
JG961A,5,36,44,4.4
JG960A,3,16,43.6,4.4
J9772A,4.72,32.26,44.3,4.45
J9773A,3.95,33.02,44.3,4.45
J9775A,3.08,25.4,44.3,4.45
J9776A,2.77,25.4,44.3,4.45
J9778A,4.58,32.26,44.2,4.45
J9782A,2.59,24.64,44.2,4.45
J9774A,1,15.95,25.4,4.45
J9780A,0.91,15.95,25.4,4.45
J9777A,,6.3,10,1.8
J9781A,2.86,24.64,44.2,4.45
J9779A,3.81,32.26,44.2,4.45
JL258A,,10,10,1.7
JL259A,2.41,20.02,44.25,4.39
JL261A,3.9,30.42,44.25,4.39
JL253A,,7.9,17.4,1.7
JL256A,4.46,30.42,44.25,4.39
JL260A,3.1,24.63,44.25,4.39
JL254A,3.1,24.63,44.25,4.39
JL075A,,17,17.4,1.7
JL071A,,17,17.4,1.7
JL354A,,7.9,17.4,1.7
JL356A,3.9,30.42,44.25,4.39
JL081A,0.2,,,
JL320A,4.5,,44.25,4.39
JL321A,4.6,32.43,44.25,4.39
JL323A,,12.8,17.4,1.7
JL324A,,12.8,17.4,1.7
J9821A,,17.8,17.5,6.9
JL003A,12.8,45.09,44.45,17.53
JC100B,6,36.45,44,4.36
JY720A,11.3,1.97,6.1,3.74
JY712A,11.3,1.97,6.1,3.74
JX945A,16.2,6.5,6.5,1.5
JW797A,,7.1,7.2,1.9
JW811A,30,8.58,8.78,2.17
JW823A,,8.8,8.9,2
JW801A,1.15,8.82,8.86,2.05
JW186A,33.5,7.99,7.99,2.24
JZ172A,2.4,9.45,9.06,10.6
JY678A,10.9,5.91,1.57,3.39
JX973A,28.7,6.5,6.5,4.33
JX966A,,6.5,6.5,4.3
JX939A,16.2,6.5,6.5,1.5
JW325A,33.51,20.32,20.32,5.59
SMV3000CAI,0.03,,,
BH500INET,7.42,,,
BK650EI,,11,4,7
BX1400UI,12,,,
BR550GI,,12.2,3.6,7.6
BR1200GI,13.2,48.8,23.8,38.7
BR1500GI,13.4,,,
SRV1KI,,28.8,14.5,22.3
SC420I,10.2,50.8,26.2,31.8
SURT1000RMXLI,27.8,59.4,63,28.6
SRT8KXLI,126.8,100,60,46.1
SC450RMI1U,11.7,58.9,47.6,16.4
SC620I,13.2,50.8,26.2,31.8
SMT750RMI2UNC,17.24,,,
SUA750RMI1U,25.4,77.5,55.9,19.1
SMX750I,26.5,62,58.9,24.6
SMC1000I,,17.3,6.7,8.5
SMC1000I-2UC,20.52,,,
SMT1000RMI2UC,31.4,60.3,59.4,25.1
SMX1000I,27.3,62,58.9,24.6
SMX1500RMI2U,30,62,58.9,24.6
SMT1500RMI1U,29.1,79.4,57.5,20
SMC1500IC,24.1,43.9,17.1,21.9
SMT1500RMI2UC,28.6,47.7,43.2,8.6
SMT1500RMI2UNC,31.8,60.3,59.4,25.1
SMC1500I-2UC,28.6,47.7,43.2,8.6
SMT2200RMI2UNC,49.6,98,60,25.4
SMX2200RMHV2U,,26.3,17,3.3
SMX2200HVNC,47.6,63.3,58.6,33
SMT2200IC,61.9,76.2,38.1,69.9
SMT3000RMI2UNC,,26.9,18.9,3.4
SUM3000RMXLI2U,47,,,
SMX3000RMHV2U,,26.3,17,3.3
SMX3000RMHV2UNC,,26.3,17,3.3
SRT1500RMXLI,29.6,74.9,59.4,24.6
SRT2200RMXLI,34,81,59.9,24.6
SRT2200XLI,25,58.4,8.5,43.2
SRT3000XLW-IEC,,25,3.3,17
SRT3000RMXLW-IEC,39.9,87.1,59.9,24.6
SRT5KRMXLW-HW,,28.3,17,5.1
SRT5KXLI,54.4,71.9,13,43.2
SRT6KXLI,60,17.4,71.9,43.2
SRT6KRMXLI,67,96,61,37
SRT8KRMXLI,130,100,60,46.1
SRT10KXLI,126.8,100,60,46.1
SRT10KRMXLI,130,100,60,46.1
SYA12K16RMI,290,,,
SRT192BP2,,26.9,5.1,17
SMT1500RMI2U,28.6,45.7,43.2,8.6
BR700G,,12.2,3.6,7.5
BR900G-GR,12.4,33.7,22.5,48.7
SMT3000RMI2U,51.7,98,60,25.4
SUA750IX38,14.6,,,
BR1500G-GR,13,38.2,11.2,30.1
SMT750RMI2U,,16,17,3.5
BK350,6.36,,,
BR1200G-GR,13,38.2,11.2,30.1
MV9A2B/A,1.37,21.24,30.41,1.49
MUHN2B/A,1.37,21.24,30.41,1.49
MUHP2B/A,1.37,21.24,30.41,1.49
MUHQ2B/A,1.37,21.24,30.41,1.49
20M9001KUK,2.45,25.23,37.74,
20N20009UK,1.55,22.7,32.9,1.79
20NN0026UK,1.29,21.9,31.04,1.59
20NX002QUK,1.27,22.58,32.9,1.61
20NX002SUK,1.27,,,
20Q0003VUK,1.29,,,
20QD00KNUK,1.09,21.71,32.35,1.49
20QD00KSUK,1.09,21.71,32.35,1.49
20QD00L1UK,1.09,21.71,32.35,1.49
20QJ000CUK,1.25,22.58,32.88,1.61
20QV00BRUK,1.7,24.57,36.18,1.84
