sku,weight (kg),depth (cm),width (cm),height (cm)
LO2-B1-AR1-MD,1.62,18,30.2,15.1
R1304WF0ZSR,,,43,
FS-W4-SP6-MG,14.6,31.9,37.5,115.2
C8061D,4.14,,,
4229C002,2.8,29.1,25,24.5
EPDU1132B-SCH,5.5,11,16,166
GA503RW-LN031W,1.9,24.3,35.5,1.99
S60-W1-PM2-MX,2.12,15.8,33.8,28.6
STB-6500,0.72,2.98,23.3,18.05
KL1508AIM-AXA-EE,15.5,70.12,48,4.4
C6-W4-PM1-MD,3.8,24.8,30.2,29
VS174-AT-E,0.73,21,8.8,5.55
90DC00F0-B39000,20.8,63.9,26.8,65.9
S6-B1-PL2-MG,4.3,18.1,37.5,31.8
FLP-B4-TS3-MD,3.04,30.3,60,10
VFY:T1335SC020IN,26.4,52.17,17.72,45.62
FLX-B1-GT4-MX,2.66,30.5,54.3,6.7
GDODE7,1,22.34,12.49,24
E673037,0.08,6.85,11.96,2.91
VS1808T-AT-E,2.15,15.78,43.72,44
MQ5E3ZD/A,0.2,0.78,7.81,16.08
DSK-W1-TE1-MD,1.84,19.8,30.2,16.8
9H.LGELA.TBU,6.5,63.9,40.6,12.8
MPQA3B/A,0.48,0.7,17.95,24.86
545-BBDO,0.09,12.5,6.2,3.75
FLP-W1-PD3-MD,3.04,30.3,60,10
QE75Q60CAUXXU,42.3,19,183.4,111
CF321A,1.84,16.4,39,21.4
5PX2200IRT3UG2BS,28.7,77,58.8,29
02485-001,,31.7,14.3,10.8
VS482-AT-E,2.17,15.86,43.72,4.4
2K-0006,1.79,81.2,11.2,8.2
BP72V18AH-AT,41.2,8.8,43.8,60
QE75LS03BAUXXU,50.7,20.7,183.9,111.3
FSS-W1-M4-MN,6.91,18.7,27.4,111
C13S050592,0,14.7,16.4,10.7
JL811A,1.54,19.5,24.5,4.39
VC1280-AT-E,0.52,13.6,12.3,3
1PD61AA,0.03,3.9,8.1,1.3
CF-B1-AR2-MD,4.3,22.4,30.2,27.2
DA-70877,0.23,16,11.5,1.5
BRA-B1-TS2-MD,1.89,15.5,30.2,28
CE711A#B19,43,70.2,71.8,47.8
SM-R0S0-W1-PM2,2.1,,32.9,30.6
862397-859,,,6.9,3
AVHub,2.62,21.5,38.2,12
VM7824-AT,0.91,42.6,28.5,5.7
FSS-B4-GT4-MX,7.32,20.8,33.8,113.1
W1470A,2.1,18,38,27
BRA-B4-TE1-MD,1.89,15.5,30.2,28
CS1308-AT-E,2.69,54,11.6,23.3
VA2-W1-TA4-MX,2.04,7.6,33.8,23.4
SM-R0S1-W1-PD4,2.1,,32.9,30.6
LO2-B4-TA2-MX,1.85,19.1,33.8,15.5
VM1600A-AT-E,15.1,46.66,48.2,26.59
SD-W4-TA3-MX,4,20.6,33.8,18.7
14401-07,0.07,1.9,11,21
FLP-W4-M3-MN,2.86,30.3,60,10
C6-B1-TA4-MX,4,25.2,33.8,29.6
VG21ZDK4BQXX,1.98,23.8,31.3,3.9
CF-B1-TS3-MD,4.3,22.4,30.2,27.2
DSK-B1-PD3-MD,1.84,19.8,30.2,16.8
A1PSY11E1164,1.16,20.17,30.59,1.59
C12C891131,0,25.4,15.3,22.5
W2122X,1.21,14.7,39.5,16.1
4B350EA,1.74,52,6.9,30.5
IP250UHD-TX,,12.6,19,2.5
VK236-AT,0.67,,,
C6-W4-TA4-MX,4,25.2,33.8,29.6
NDV-3502-F02,0.29,,,6.6
SM-R0S0-W4-TA2,2.1,,32.9,30.6
E344260,23.1,25,122,79
3S700I,4,17,33.5,8.6
B6Y08A,1.09,12,32.4,6.4
X670E AORUS MASTER,,26.9,30.5,3.5
YXK3W,2.1,23.01,34.44,
CD-B4-M4-MN,3.6,16,27.4,22.8
PX45A00000000300,12.6,48.2,27.5,23.8
C13T33574021,0.18,19.2,5.2,14.2
S6-B4-GT4-MX,4,18,33.8,30.6
IS-DA2-256-4000-B,0.33,8.4,12.4,2.7
02110-001,2.5,41.8,16,75.4
BRA-B1-PD3-MD,1.89,15.5,30.2,28
FSS-B1-TS2-MD,7.09,19.9,30.2,112.2
UE55CU7100KXXU,19.5,15.8,138.6,84.3
B6Y11A,1.09,12,32.4,6.4
VA2-W4-AR1-MD,1.81,7.3,30.2,22.4
90YV0HS3-M0NA00,1.55,23.3,40.5,8.85
C6-B1-AR1-MD,3.8,24.8,30.2,29
BRA-W1-PD3-MD,1.89,15.5,30.2,28
DSK-W1-SG-MX,2.07,20.6,33.8,16.7
CE505D,2.37,22,34.8,20.2
RNUC12WSHI50000,,11.2,11.7,5.4
S6-W1-PM1-MD,3.8,17.5,30.2,30
FLP-B1-AR2-MD,3.04,30.3,60,10
MNGM3B/A,0.17,0.77,7.15,14.67
70100150076+2PK,0.33,12.1,10.4,6.5
VA2-B4-M4-MN,1.63,6.8,27.4,19.2
90RC00I1-M0UAY0,3.27,21,42.6,13
MR513ZD/A,0.17,0.78,7.15,14.67
AP9512THBLK,0.11,,,
VA2-W1-SG-MX,2.04,7.6,33.8,23.4
FLX-W4-PD6-MD,2.43,30.5,54.3,6.7
2728C002,,7.76,12.9,10.13
B5302CEA-KG0847X,,21.06,30.9,1.69
GV-N407TGAMING OC-12GD,,33.6,14,5.8
VA2-B1-TS3-MD,1.81,7.3,30.2,22.4
GV-N4070AORUS M-12GD,,34.2,15.3,7.06
27599-999-998,0.2,7.5,19.9,23.8
FLX-B4-TA2-MX,2.66,30.5,54.3,6.7
C11CJ60407CA,6.7,34.7,37.5,23.1
P2V81A,0.51,4.1,28.3,11.8
C11CJ88402,9.62,44,40.5,41.5
GB-BMCE-5105,,11.26,11.94,4.68
C2722DE,12.6,,,
C13S050584,0,28.5,8.6,9.7
BRA-W4-PD4-MD,1.89,15.5,30.2,28
IS-DT2-256-20000-C-G,1.24,11.2,18.55,4.35
4114C005,0.34,7.12,7.12,3.93
AR7303,11.4,,,
4K30-HDMI-CAPTURE,0.18,15.5,10.7,3.7
CF-B4-SP6-MG,5,22.4,37.5,27.5
LO2-W1-AR1-MD,1.62,18,30.2,15.1
BXNUC10I3FNHN,,11.2,11.7,5.1
W2120A,1.18,14.7,39.5,16.1
FLX-B1-SG-MX,2.66,30.5,54.3,6.7
FSS-B1-AR1-MD,7.09,19.9,30.2,112.2
RM2-6454-000,0.7,,,
FLX-W1-TA4-MX,2.66,30.5,54.3,6.7
61U0110000AC,5.4,25.9,25.9,34.9
799087-361,,,6.9,3
FA507RR-HF013X,3.84,42.6,10.4,30.6
61U3500000AC,10.9,29.3,27.5,52.5
6T132EA#ABU,1.36,44.9,6.9,30.5
CS1922-AT-E,1.86,28.3,10,17.3
PD45S0F0010020200,9.34,43.8,24.9,27
CD-W4-PD3-MD,3.8,24.4,30.2,17.2
LO2-W1-PD3-MD,1.62,18,30.2,15.1
SM-R3S1-W1-PD3,2.1,,32.9,30.6
DSK-W4-SP6-MG,2.46,23.9,37.5,16.8
FSS-B4-SG-MX,7.32,20.8,33.8,113.1
S6-W1-PL2-MG,4.3,18.1,37.5,31.8
90LM0590-B02170,23,106.9,72.2,37.4
9553-410-111,0.06,6.3,17.35,20.3
QE43QN90CATXXU,17.5,14,116.4,
BRA-W1-AR1-MD,1.89,15.5,30.2,28
6S6S0EA#ABU,1.74,23.39,35.94,1.99
FSS-W4-TE1-MD,,19.9,30.2,112.2
VM7584K2-AT,1.07,42.6,28.5,5.7
DSK-W1-PD5-MD,1.84,19.8,30.2,16.8
XG349C,13.4,32.9,88.7,46.9
CE255A,1.82,16,39.5,26.1
CF364A,3.9,16.8,60.3,32.7
5550C008,9,63.9,39.9,33.2
90YH02Y1-B5UA00,0.3,,,
VA2-B1-A62-MX,2.04,7.6,33.8,23.4
SV154A,2.23,20.5,36.5,15
64X66AA#ABU,5.94,18.05,53.89,39.79
MR.JSF11.002,4.13,40,34,16.8
SD-B1-SP6-MG,4.3,23.9,37.5,19
4468C008AA,6.4,33,44.5,13.5
NKPX1,1.59,23.33,35.78,
E720629,23.6,18.7,115,82
SM-R3S1-W4-PM2,2.1,,32.9,30.6
2X39G,0.4,19.4,45.1,5.5
90LJ00F0-B00270,8.1,27.4,56,43
SD-B4-SG-MX,4,20.6,33.8,18.7
P20174-B21-CTO,,73.03,44.55,8.74
MR.JR611.002,6,,,
FSS-W1-PL2-MG,7.71,21.4,37.5,113.8
SM-R0S1-W4-AR2,2.1,,32.9,30.6
FS-B1-PL2-MG,14.6,31.9,37.5,115.2
EB008SP,6,47,21.5,11.6
FLX-W4-PD3-MD,2.43,30.5,54.3,6.7
LO2-W4-AR2-MD,1.62,18,30.2,15.1
CF320A,1.84,16.4,39,21.4
QL820NWBCZU1,2.62,18.4,29.8,23.2
CD-B1-PD5-MD,3.8,24.4,30.2,17.2
GB-BEI3-1220,,13.91,13.42,4.83
37102,0.27,11.2,15.5,3
FLP-W1-AR1-MD,3.04,30.3,60,10
BRA-B1-TA2-MX,2.12,15.8,33.8,28.6
90YV0IV1-M0NA00,3.16,22.6,42,12.6
QE43Q60CAUXXU,11.6,12.6,109.3,66.7
VA2-B4-TE1-MD,1.81,7.3,30.2,22.4
SM-R0S0-W4-PM1,2.1,,32.9,30.6
4093-410-299,0.05,5,18.5,24.9
EWS357-FIT,0.38,16,16,3.32
S60-B1-PD4-MD,1.89,15.5,30.2,28
CF-W1-TA1-MD,4.3,22.4,30.2,27.2
2112727,,13.54,18.73,21.59
B760M DS3H AX DDR4,,24.4,24.4,
GR0PY,1.1,17.8,3.6,18.2
S6-B4-PD3-MD,3.8,17.5,30.2,30
BRA-W1-AR2-MD,1.89,15.5,30.2,28
VPK312K1-AT-E,0.48,28.3,6.2,17.3
SSDSC2BB240G6,0.09,,,
C436FA-E10097,1.1,20.53,31.95,1.37
S60-B4-M3-MN,1.71,14.2,27.4,26.4
BXNUC10I7FNKN2,,11.2,11.7,3.8
AP7555A,6.25,,,
E421137,12.8,30.5,69,31
PX45A00000020300,12.6,48.2,27.5,23.8
90DC0093-B09010,11,45,28.5,44.6
ZD77Q1DH5RAX,0.78,2.7,21.8,14.2
VA2-B1-AR2-MD,1.81,7.3,30.2,22.4
CHROMEBOX4-GC029UN,1,14.85,14.85,4
MR693ZD/A,0.2,0.78,7.81,16.08
KH1508AI-AX-E,3.18,16.36,43.72,4.4
MPQ13B/A,0.48,0.7,17.95,24.86
X670E AORUS XTREME,,26.9,30.5,
P44720-421,10.1,17.5,36.83,47.5
210-APHQ,9.7,46,43.4,4.36
FLX-W1-GT4-MX,2.66,30.5,54.3,6.7
SD-W4-TA4-MX,4,20.6,33.8,18.7
WAL-W4-A62-MX,2.07,20.6,33.8,16.7
CS1842-AT-E,3.52,54,11.6,23.3
C6-W4-SP6-MG,4.4,25.4,37.5,30.8
Q5949XD,2.52,24.8,38.8,21
B11B268401,1.5,36.4,24.9,3.9
VM0404HA-AT-E,2.02,16.29,43.72,4.4
X570S AERO G,1,24.4,30.5,8
CD-W1-PM1-MD,3.8,24.4,30.2,17.2
DP-9080MWL,6.1,,,
FLP-W4-PD5-MD,3.04,30.3,60,10
LO2-B1-TE1-MD,1.62,18,30.2,15.1
VFY:R1335SC060IN,13,61.2,48.26,4.3
RNUC12WSHi50002,,11.2,11.7,5.4
VFY:P612EP15DMGB,10,30.4,18,37.5
T2754MSC-B1AG,8.4,20.4,68.8,47.7
SD-B1-PD5-MD,3.8,19.8,30.2,18.2
XNV-8080R,1.01,,,11.85
90YE00N2-B0NA00,2.5,19,28.5,10
S60-B4-PL2-MG,2.51,16,37.5,29.8
BXNUC10I5FNHN,,11.2,11.7,5.1
CF-B1-TA2-MX,4.5,22.4,33.8,27.5
SD-W1-PL2-MG,4.3,23.9,37.5,19
855842-972,,,6.9,3
90YV0IC1-M0NA00,3.5,12.6,42,22.6
WAL-W1-GT4-MX,2.07,20.6,33.8,16.7
SM-R3S0-W1-A62,2.1,,32.9,30.6
DN-96332-4,3.06,51.5,31.5,4.45
90YE00P3-B0NA00,3.19,15,18,8.6
VA2-W1-TS3-MD,1.81,7.3,30.2,22.4
C68TP,1.79,24.09,36.1,
C6-W1-TS3-MD,3.8,24.8,30.2,29
C9470A,1.09,12,32.4,6.4
LO2-B4-TA3-MX,1.85,19.1,33.8,15.5
6CTWR,3.84,29.28,9.26,29
DSK-W4-TA1-MD,1.84,19.8,30.2,16.8
EWS7952P-FIT,5.6,42.9,44,10.5
HW-B550-XU,9.2,23.5,92.5,45
1620C005AA,0.22,,,
B650I AORUS ULTRA,,17,17,
ER6200,82,65,105,212
ADSA-M2C,0.35,6.5,9.3,17
FLX-B1-PD4-MD,2.43,30.5,54.3,6.7
BC4032-BK-BT,0.25,5.6,9.9,18.6
APDU9953,9.95,12.4,16.5,204
KHC9C,1.2,20.75,30.57,
AP8459EU3,9.03,,,
AP860A,2.27,16.5,21.6,31.7
FLP-W4-PD6-MD,3.04,30.3,60,10
SD-W1-SP6-MG,4.3,23.9,37.5,19
PE5108G-ATA-G,2.82,21.93,43.24,4.4
6N4E2AA#ABU,6.96,,,
MQ6K3B/A,0.48,0.7,17.95,24.86
90YV0IG0-M0NA00,3.16,22.6,42,12.6
VM7104-AT,0.56,,32.8,22.8
GPH2C,,,48.2,4.28
S60-W1-TA4-MX,2.12,15.8,33.8,28.6
FLP-B1-SG-MX,3.27,30.3,60,10
C9730A,2.9,16,50,26.5
14401-30,0.08,3.2,14.1,16.9
T2254MSC-B1AG,6.9,17.4,59.9,38.9
FA507NV-LP023W,4.2,42.6,10.3,31.2
C11CJ20401,11.3,52.5,44,25
Z790 AORUS ELITE AX DDR4,,24.4,30.5,3.5
943500029,0.6,,7.85,21.8
CF370AM,2.7,32.7,38.5,12.5
S6-B4-TS3-MD,3.8,17.5,30.2,30
C11CK38401BY,8,36.9,52.3,15
4099-419-279,0.14,5,18.5,24.9
S6-B1-PD6-MD,3.8,17.5,30.2,30
SD-B1-PD6-MD,3.8,19.8,30.2,18.2
DSK-W4-TE1-MD,1.84,19.8,30.2,16.8
MPQ93B/A,0.48,0.7,17.95,24.86
C6-W4-PM2-MX,4,25.2,33.8,29.6
SM-R3S0-W4-PD4,2.1,,32.9,30.6
W2031X,0.9,10.9,36.3,12.3
CE710A#B19,43,70.2,71.8,47.8
S6-B4-AR2-MD,3.8,17.5,30.2,30
7J059AA#ABU,1.74,48.3,6.9,30.5
SD-B1-AR1-MD,3.8,19.8,30.2,18.2
02342-001,1.2,28,28,
C6-W4-M3-MN,3.6,23.6,27.4,27.4
DSK-B1-PD4-MD,1.84,19.8,30.2,16.8
SM-R0S0-W1-TA1,2.1,,32.9,30.6
SUM48RMXLBP2U,60,,,
S6-B1-TA4-MX,4,18,33.8,30.6
4110C002,0.45,14.33,10.22,3.1
CF450A,1.47,16.3,37.8,19.2
AP8712R,1.12,,6,30
CS1944DP-AT-E,4.21,54,11.6,23.3
MQ563ZD/A,0.2,0.78,7.81,16.08
BNUC11TNKI70002,,11.2,11.7,3.7
E659395,,,68,
WAL-W4-TA2-MX,2.07,20.6,33.8,16.7
BRA-B4-PM2-MX,2.12,15.8,33.8,28.6
90LM054N-B01370,7.8,20.2,65.2,45
CB463A,6.6,24.51,59,65
EDA52-11AE34N21RK,0.26,1.44,7.5,15.9
Z690M DS3H DDR4,1,24.4,24.4,7
2775-319,0.47,15.5,15.3,4.9
20797-989-999,0.01,13.7,11.5,4.1
FS-W1-PD6-MD,14,31.9,30.2,113.6
S60-W4-PD3-MD,1.89,15.5,30.2,28
9PX2200IRTNBS,25.6,77,58,23
E421325,20.6,31.6,128.4,31.6
5YZ55AT,0.01,,,
S60-W4-GT4-MX,2.12,15.8,33.8,28.6
5099-610-279,0.06,5,18.5,24.9
MMXH3B/A,0.14,0.73,6.73,13.84
SM-R0S1-W1-A62,2.1,,32.9,30.6
CD-W4-A62-MX,4,25,33.8,17.7
Z690 GAMING X DDR4,1,24.4,30.5,7
V4940,0.32,12.9,30.3,4.7
PA329CRV,14.2,14.2,82.8,50.9
R1304WFTYSR,,71,43,4.36
R2308WFTZSR,,71,43,8.74
Z690 UD DDR4,1,24.4,30.5,7
CF-W4-M4-MN,4.1,22.4,22.4,26.7
FLP-B4-A62-MX,3.27,30.3,60,10
UX363EA-HP546W,2.77,41.8,7.3,26
M0K02AE,0.72,4.82,21.72,9.92
VA2-W1-PD5-MD,1.81,7.3,30.2,22.4
5TW13AA#ABU,0.7,12.2,12.2,4.5
3PZ15A#B19,11.4,27.8,44.3,46.4
CC423A,31,,,
1XM32AA,0.21,,,
B5L29A,0.2,13.8,17.8,6
189T3AA#ABU,10.8,21.58,61.33,53.59
J8H61A#B19,14.5,39.8,49.7,46.6
FPC04904BS,1.95,24.4,36.1,2.39
FPC04909BS,1.95,24.4,36.1,2.39
VFY:U7512MF7FMGB,,19.95,30.8,1.89
VFY:E5411MF5BMDE,1.79,23.4,33.36,2.39
UP-Sense,0.05,,,8.35
UVC-AI-DSLR,0.82,,,
UA-G2-Pro-Black,0.14,4.05,4.04,16
6ZD17AE,0.05,25.1,36.1,18.4
3JB05AE,0.1,3.8,11.7,15.7
N9J72AE,0.09,3.8,11.7,15.7
F6U66AE,0.05,3.7,11.3,11.5
X4D37AE,0.11,3.8,11.7,15.7
C2P04AE,0.05,3.7,11.3,11.5
N9K06AE,0.05,3.7,11.3,11.5
3YM61AE,0.05,3.7,11.3,11.5
CH561EE,0.05,3.7,11.3,11.5
3YM92AE,0.09,3.8,11.7,15.7
N9J71AE,0.11,3.8,11.7,15.7
N9K08AE,0.06,3.7,11.3,11.5
N9K05AE,0.05,3.7,11.3,11.5
C2P05AE,0.06,3.7,11.3,11.5
T6N04AE,0.06,3.7,11.3,11.5
CH563EE,0.05,3.7,11.3,11.5
T6N02AE,0.05,3.7,11.3,11.5
F6U68AE,0.05,3.7,11.3,11.5
CH562EE,0.05,3.7,11.3,11.5
T6N03AE,0.06,3.7,11.3,11.5
F6U65AE,0.05,3.7,11.3,11.5
CH564EE,0.05,3.7,11.3,11.5
CN637EE,0.11,3.8,11.7,17
C2P06AE,0.06,3.7,11.3,11.5
3YL80AE,0.05,2.3,10.6,11.35
N9K07AE,0.06,3.7,11.3,11.5
3YM60AE,0.05,3.7,11.3,11.5
CC640EE,0.05,3.6,11.6,11.5
3YM62AE,0.05,3.7,11.3,11.5
3YM63AE,0.05,3.7,11.3,11.5
F6U67AE,0.06,3.7,11.3,11.5
Q2510A,1.13,21.16,30,1.63
CF244A,0.81,10.8,37.5,12.5
T6N01AE,0.05,3.7,11.3,11.5
CR757A,0.35,12.4,18.2,3.3
6ZC73AE,0.13,3.8,12.4,16
W1106A,1.3,13.7,36.3,9.8
3YL77AE,0.04,2.3,10.6,11.35
6ZC71AE,0.18,3.2,10.55,17.1
CC641EE,0.07,3.6,11.6,11.5
7MD66E,4.8,19.8,37.8,22.2
T6L99AE,0.05,2.3,10.6,11.35
CB335EE,0.05,3.6,11.6,11.5
F6V97AA#ABB,0.2,13.75,14.4,1.4
3YL82AE,0.04,2.3,10.6,11.35
3YL81AE,0.04,2.3,10.6,11.35
Q8696A,0.24,15,19.5,1.4
W1420A,0.81,10.8,37.5,12.5
C9364EE,0.07,11.3,14.1,3.7
WAX214-200EUS,0.52,19.6,19.6,4.44
MR6450-100EUS,0.26,10.5,10.5,2.15
GS316EP-100UKS,0.88,10.2,28.6,2.7
WAX630E-100EUS,1.05,26.83,26.66,5.55
UXG-PRO,3.42,28.56,44.24,4.37
INS-3AF-USB,0.07,11.75,3.5,3.5
ST4000VX013,0.49,14.7,10.18,2.02
ST2000VX015,0.42,14.7,10.18,2.02
STKM1000400,0.16,,,
ST18000NM003D,0.67,14.7,10.18,2.61
STKM2000400,0.16,1.26,8,11.53
ST18000NM000J,0.67,14.7,10.18,2.61
ST16000NM000J,0.67,14.7,10.18,2.61
ST4000DXA05,0.15,19.69,6.35,2.61
ZABU0042GB,0.32,11.98,19.8,0.89
ZABF0038GB,0.52,16.94,26.91,0.74
GX40Q17227,0.55,49,33,4
82R1005GUK,1.6,23.6,36.02,1.79
ZAAE0051GB,0.46,15.86,23.98,0.85
4Y50R20864,0.05,,,
GXD0T69864,0.86,24.1,25.6,10.8
82RA0041UK,2.82,32.7,50.6,7
82CY0034UK,1.21,20.88,29.59,
GX40Q53789,0.44,1.5,42.5,30
82T60026UK,0.95,16.46,25.8,0.79
82V60013UK,2.36,33.8,49.6,9.2
66E4UAC1WL,1.7,40.79,27.99,7.59
4X41C12469,0.68,6.5,40.5,29
ZG38C04536,0.37,1.6,27.2,17.5
E9PV7GL06EZ3,4.68,27,31.5,11.8
DS923+,2.34,22.3,19.9,16.6
E10G22-T1-Mini,,7.57,4.54,2.64
DS223,1.28,23.27,10.8,16.5
RT6600AX,1.6,20,32,17.5
SNV3410-400G,,8,2.2,0.35
DS1823XS+,6.2,24.3,34.3,16.6
RS822+,6.4,45.76,43.05,4.4
HAT5310-18T,0.72,14.7,10.18,2.61
HAT5310-8T,0.72,14.7,10.18,2.61
DECO XE75(3-PACK),,10.5,10.5,16.9
RE705X,,4.6,9.7,15.8
UB500,0.03,10.2,11.8,2.3
UE306,0.05,8.5,18.3,1.8
Deco X20(3-pack),,11,11,11.4
RE550,,7.64,16.3,6.65
RE650,0.61,12.5,20.2,9.7
TL-WPA4220 KIT,,5.4,9.4,4
RT-AX58U,0.54,22.4,15.4,16
90IG05P0-MU0410,0.19,,,
INC001BTBK,,4.1,13.15,1.45
MX4200-UK,0.94,11.4,11.4,24.4
RE330,,3.5,6.95,12.41
UB5A,0.03,10.2,11.8,2.3
TL-WPA7617 KIT,,3.5,6.95,12.41
TL-PA7017P KIT,,4.2,5.8,9.5
TL-SG1005LP,,9.8,9.98,2.5
Archer T2UB Nano,,0.74,1.57,1.92
RE300,0.29,10.15,15.65,8.9
Deco S7(2-pack),,9.07,16.23,9.07
RE605X,,4.6,7.4,12.48
TL-POE160S,,5.94,12.5,3.68
M7000,0.15,9.5,13.5,5
DS224+,1.3,23.22,10.8,16.5
DS223J,0.88,22.52,10,6.5
DS423+,2.18,22.3,19.9,16.6
TL-SG1024S,,18,29.4,4.4
GS305E-100NAS,0.25,10,9.4,2.7
GS305-300PAS,0.25,9.4,10.1,2.9
GS116NA,0.9,,,
TL-SX105,,13.1,22.6,3.5
GS308PP-100NAS,0.6,10.2,23.6,2.7
TL-SG116P,,11.17,28.6,2.54
OC300,,18,29.4,4.4
USW-FLEX-MINI-3,0.15,7.02,10.72,2.12
GS105E-200NAS,0.27,10.1,9.4,2.6
GS305EP-100NAS,0.39,10.1,15.8,2.7
GS308EP-100NAS,,10.1,15.8,2.7
GS316PP-100NAS,0.88,10.2,28.6,2.7
GS108PP-100NAS,0.6,10.2,23.6,2.7
GS324P-100NAS,2.44,20.6,33,4.3
TEG1008M,,6.65,14,2.53
TEF1005D,,6.4,10,2.5
GS348-100NAS,3.15,20.4,44,4.32
GS316EP-100NAS,0.88,10.2,28.6,2.7
GS308EPP-100NAS,,10.1,15.8,2.7
JGS524NA,2.4,,,
GS108E-300NAS,0.51,10.1,15.8,2.9
GS524PP-100NAS,2.89,22,39,4.3
GS748T-500NAS,3.46,25.7,44,4.3
TL-SG1210MP,,20.9,12.6,2.6
GS116PP-100NAS,0.88,10.2,28.6,2.7
GS116LP-100NAS,0.88,10.2,28.6,2.7
GS108LP-100NAS,0.6,10.2,23.6,2.7
TL-SG1428PE,,22,44,4.4
TL-SG1218MP,,18,44,4.4
MS108UP-100NAS,0.9,14,21,4
TEG1105PD,,10,10,2.6
GS324TP-100NAS,2.69,20.6,33,4.3
XS508M-100NAS,1.49,16.9,32.8,4.32
GS724T-400NAS,2.74,20.4,44,4.3
GS524UP-100NAS,3.1,22,39,4.3
GS110EMX-100NAS,0.75,10.2,23.6,2.7
GS110MX-100NAS,0.74,10.2,23.6,2.7
JL680A#ABA,0.82,15.95,25.4,4.39
TL-SG105MPE,,9.8,9.98,2.5
GS316EPP-100NAS,0.88,10.2,28.6,2.7
JL681A#ABA,1.16,25.4,25.4,4.39
RE315,,3.5,8.9,12.41
RE500X,,3.6,7.8,14.9
RE600X,,3.6,7.8,14.9
TEG-S350,0.41,10.9,16,2.5
TEG-S50G,0.43,,,
TEG-S380,0.6,10.3,24,2.6
TEG-S82G,0.38,9.7,14.8,2.6
TPE-S50,0.34,9.5,14.1,3
TEG-S762,2.33,18,14.5,3.3
TEG-S16DG,1.5,,,
TEG-S80G,0.45,,,
TI-G50,0.17,8.2,11.3,3.1
CE270A,2.62,18.8,49.2,22.5
73309,0.8,13.4,23.8,2.5
DK-2A33CUE50BK-BBB,8.8,35,35,
CONNLOCKPK5,0.03,,0.22,0.22
82H802Q5UK,2.42,33.3,53.3,7.4
V-5UTP-20GR,0.34,,,
2K-0005,1.01,,,
P38446-B21,0.04,19.05,8.89,1.91
ST1000PEXPSE,0.22,9.5,6.3,1.5
02-SSC-6844,,13.5,3.5,19
KAP10800,0.47,59.5,36.5,0.7
38211,0.02,,,
206110-102,0.02,5.3,9.1,1.5
ALEG-960M-2TCS,0.04,8.06,2.32,1.07
6AUTP-0025O,0.02,,,
FRU45N0262,0.24,10.5,4.4,2.85
U444-010-DP,0.14,,,
LVN149542,0.37,,,
V-6UTP-02GR,0.06,,,
894M3EA#ABU,2.05,25.78,40.07,2.06
VEL-OW64401,,,2,
KSM26RS4/16HDI,,,13.33,3.12
6ASFTP-0075B,0.04,,,
9553-470-111,0.06,6.3,17.35,20.3
C9720A,1.4,39,14.7,24.7
6UTP-07R,0.28,,,
DP1.2-HDMI30-003,0.11,,,
CDPHDMDP2HD,0.11,8,5.5,2
LVN-CAT6A-FLEX-25CM,0.05,16,27.6,3.6
C9453A,0.19,20.2,4,12.9
W2413A,0.75,9.6,36.3,11.1
KSM26ED8/32MF,,,13.33,3.12
AK-600433-006-S,0.03,21,11.5,25
VT35N,1.9,23.56,35.85,
V-6UTP-07BL,0.16,,,
SU570A,,44.2,12.7,14.2
6AUTP-05O,0.2,,,
V-6FUTP-02BL,0.07,,,
4X71D09532,0.02,3,6.96,0.37
006R03618,0.85,,,
5UTP-003Y,0.03,,,
PEXUSB312A3,0.08,11,12,1.9
CN056AE,0.03,12.6,9.4,2.4
MFCL2800DWZU1,11.6,39.9,41,31.9
42346,0.51,6,16,25
ST8000NM017B,0.72,14.7,10.18,2.61
2L-7D03H,0.17,,,
5UTP-20W,0.73,,,
AK-340411-001-W,0.04,1,16,
5G4AB-USB-A-HUB,0.08,42,5.4,1.6
KF556C40BBK2-32,0.08,13.34,0.66,3.48
882826-0020,,2.24,3.05,1.72
STKL2000419,0.27,3.9,13.75,18.65
DA-10197,0.2,12.5,4.5,2.87
HDMMV2M,0.11,,,
5PXEBM72RT3UG2,39.7,48.3,43.8,12.9
41334,0.02,4.12,3.16,1.19
006R04344,1.33,,,
CDP2HDMM1MH,0.04,,2.2,1.2
KF556C40BBA-16,0.05,13.34,0.71,4.22
KF432C16RBAK2/16,,0.83,13.33,4.22
CF413A,0.86,10.2,36.3,12.3
KF426C16BBK2/32,0.07,11.34,0.71,3.4
KF556C40BB-16,0.04,13.34,0.66,3.48
KF453C20RB2K2/16,0.11,0.83,13.33,4.2
DK-2A338UE50BK-BBB,8.8,35,35,
HD2VGAMM10,0.17,300,4,1.5
SU252A,0.82,18.1,38.7,7.9
AP3000-WW,0.52,16.2,16.2,3.6
R2ACR-15C-USB-CABLE,0.01,,,
6ASFTP-03GR,0.12,,,
KVR32N22S6/4,,,13.33,3.12
KF560C32RWAK2-64,,0.77,13.33,4.4
6FUTP-02Y,0.09,,,
DK-1521-V-1,4,30,30,
H4F02AA,0.03,4.5,4,1.5
RUSB2CLTMM1MR,0.02,,,
6UTP-15W,0.59,,,
DS-23200-2,,47.5,33,44
TED006GL,0.38,33,5,26
5UTP-10O,0.37,,,
