sku,product_type,weight,additional_attributes
MFCJ5945DWZU1,simple,25.3,"ts_dimensions_height=50.4,ts_dimensions_length=54.3,ts_dimensions_width=66.2"
QL820NWBZU1,simple,2.62,"ts_dimensions_height=23.2,ts_dimensions_length=18.4,ts_dimensions_width=29.8"
VC500WZU1,simple,1.79,"ts_dimensions_height=10.8,ts_dimensions_length=24.8,ts_dimensions_width=25.4"
HLL5100DNZU1,simple,13,"ts_dimensions_height=37.7,ts_dimensions_length=45,ts_dimensions_width=48.5"
HLL6300DWZU1,simple,15.8,"ts_dimensions_height=42.7,ts_dimensions_length=49.2,ts_dimensions_width=49.7"
HLL5100DNTZU1,simple,22,"ts_dimensions_height=70.2,ts_dimensions_length=52.2,ts_dimensions_width=66.2"
MFCL3770CDWZU1,simple,28.8,"ts_dimensions_height=56.8,ts_dimensions_length=52.3,ts_dimensions_width=62.3"
DCPL3550CDWZU1,simple,27.4,"ts_dimensions_height=52.3,ts_dimensions_length=56.8,ts_dimensions_width=58.9"
MFCL3710CWZU1,simple,26.7,"ts_dimensions_height=56.8,ts_dimensions_length=58.9,ts_dimensions_width=52.3"
HLL6400DWZU1,simple,16,"ts_dimensions_height=53.1,ts_dimensions_length=49.2,ts_dimensions_width=49.7"
HLL6400DWTZU1,simple,25.9,"ts_dimensions_height=85.6,ts_dimensions_length=52.2,ts_dimensions_width=66.2"
DS740DTJ1,simple,1.02,"ts_dimensions_height=7.6,ts_dimensions_length=16.2,ts_dimensions_width=37.7"
DS940DWTJ1,simple,1.11,"ts_dimensions_height=7.6,ts_dimensions_length=16.2,ts_dimensions_width=37.7"
MFCL6900DWZU1,simple,23.8,"ts_dimensions_height=76.2,ts_dimensions_length=52.6,ts_dimensions_width=59.9"
MFCL5750DWZU1,simple,20.2,"ts_dimensions_height=64.1,ts_dimensions_length=52,ts_dimensions_width=54.5"
MFCL6800DWZU1,simple,22.9,"ts_dimensions_height=65.9,ts_dimensions_length=52.6,ts_dimensions_width=59.9"
MFCL5700DNZU1,simple,20.1,"ts_dimensions_height=64.1,ts_dimensions_length=52,ts_dimensions_width=54.5"
MFCL8900CDWZU1,simple,35,"ts_dimensions_height=64.5,ts_dimensions_length=59.5,ts_dimensions_width=66.5"
MFCL9570CDWZU1,simple,36.1,"ts_dimensions_height=72.6,ts_dimensions_length=65.2,ts_dimensions_width=67.5"
MFCL2750DWZU1,simple,14.9,"ts_dimensions_height=43.4,ts_dimensions_length=51.7,ts_dimensions_width=58"
