sku,weight (kg),length (cm),width (cm),height (cm)
4X30M86925,1.08,,20.5,4.2
EYU-00002,0.02,,,
CTS601IIS3TEBPXX,2,,14.5,14.8
980-001295,5.75,52.2,23.1,26.2
4X30M86913,1.08,,20.5,4.2
920-007915,6.14,29.4,17.9,52
920-007935,6.14,29.4,17.9,52
14208-13,3.03,39.4,15.7,28.8
700513191,0.114,,5.2,13.7
14208-08,3.2,29.6,17.2,38.8
ELG-00003,0.0825,,5.51,1.42
1244B001,0.069,,,
0A001-00053400,,,8.9,3.2
2EB40AA,0.0062,,14.830000000000002,0.8
DVT1250,0.067,,10.8,1.9
DS-1605ZJ,1.12,,15.8,17.169999999999998
14208-07,3.2,29.6,17.2,38.8
1JR31AA,0.115,,6.7,3.8600000000000003
Q5N-00006,0.289,,9,2.5
FHD-00017,0.0825,30.3,16.9,10.5
1JR31AA#AC3,0.115,,6.7,3.8600000000000003
P13YF,0.162,,11.3,4.8
DA-90364,10.5,,72.6,81.8
88011-102,10.3,17.7,45.5,68
4993-829-409,7.73,49.6,22.6,56.4
4993-823-309,7.73,49.6,22.6,56.4
4999-829-409,9.19,49.6,22.6,56.4
4999-823-309,9.19,49.6,22.6,56.4
GMS2X6,,Yes,,
GMS4X2,,Yes,,
D9Y32AA#ABB,0.76,,4.4,10.7
ST352321,0.38,32.5,11.5,2.5
ADAPTER 42W_1_UK,0.19,,8.7,8.5
1LU22AA,0.56,,46,14
920-004520,4.96,51.7,16.6,28.9
FPWFXBAT,3.9,100.3,25.4,13.7
DELL-PN350M-BK,0.076,,17.3,1.95
THZ852GL,2,19.5,11,30
THZ855GL,2.2,20.5,14.5,31
THZ85011GL,2.34,20.1,13.1,30.7
THZ850GL,2.35,20.1,13,30.5
FZ-VEB551U,2.5,,39.7,6.8
FZ-VSC551U,0.072,,7.109999999999999,15.530000000000001
CBA-UF3-C09ZAR,,2.74,,
273V7QJAB/00,6.19,,61.3,36.8
MQ052F/A,0.39,,,
MQ052DK/A,0.39,,,
243V7QJABF/00,4.82,,54,32.5
MQ052AB/A,0.39,,,
VS182B-AT-E,0.32,,8,25
1LU22AA#ABB,0.56,,46,14
P9Q44A,4.17,,,
P9Q38A,2.1,,,
KSM56E46BD8KM-32HA,,,13.330000000000002,3.12
KSM56E46BS8KM-16HA,,,13.330000000000002,3.12
Z6A00AA#AC3,0.0365,,6.68,1.05
B760 GAMING PLUS WIFI,,,24.380000000000003,
USB3AMF15,,15,,
NC3FXX,,,1.92,1.92
USB3AMF10,,10,,
ECS5512FP,3.1,,23,4.4
NL4MMX,,,2.87,2.87
NAHDMI-W,,,3.1,3.1
SRFB9B,0.201,,4.3,11.2
HX510(1-PACK),,,12,9.65
MESHKITAX3000UK,0.32,,12.8,7.3
90IG07V0-MO3A40,3.7,,40,14.7
90IG07V0-MO3A60,2.11,,22,14.7
MR6150-100EUS,0.252,,10.5,2.15
DECO BE65(1-PACK),,,10.75,17.6
DECO BE65(3-PACK),,,10.75,17.6
ARCHER AIR E5,,,14.8,21
NWA90AXPRO-EU0102F,0.668,,24,6
21.99.1335,,1,,
XPOL-1-5G-41,1.24,5,15.7,24.7
LANCOOL216X,,22,23.5,49.17
O11DXL-X,,22,28.5,51.3
U263-AC600,0.25,21.34,9.14,7.109999999999999
U225-004-R,7.89,66.03999999999999,28.189999999999998,29.72
U444-06N-HV4K,0.66,11.99,25.5,11.51
U444-003-H,0.87,39.37,35.56,5.08
U444-06N-V-C,0.72,22.1,13.209999999999999,11.51
U322-006-BK,0.88,2.54,35.05,40.13
U050-006-GY-MAX,0.4,2.54,24.990000000000002,30
U038-006-CRA,0.45,2.54,34.8,39.88
U024-06N-IDC,0.14,2.54,25.4,30.48
SRSHELF4PSLHD,23.2,78.74,51.31,79.76
P568-003-2A,0.81,2.54,35.56,43.18
SR42UBDP,142.9,127,85.09,215.9
GV-N4090WF3V2-24GD,,,13.6,5.55
A620M H,0.897,,26.5,5.4
U444-06N-H4U-C,0.66,11.99,25.5,11.51
TL-PA4010PKITV2.20,0.54,,19,10
A620M DS3H,1.07,,26.5,5.4
AK-300100-018-S,0.040278,1.8,11.5,
VCQK5200-PB,,,26.669999999999998,11.120000000000001
F1DN2MOD-HC-D06,,1.8,,
F1DN2CCBL-MP6T,,1.8,,
F1DN1MOD-CC-D06,,1.8,,
F1DN1MOD-USB06,,1.8,,
F1DN2MOD-CC-P06,,1.8,,
JL727B#ACC,5.1,,44.2,4.39
11324-01-20G,,,24,4.41
90YV0IH2-M0NA00,1.09,,36.4,6.6
R-LE520-WHAMMN-G-1,1.24,41,9.1,5.2
R-LE720-BKAMMN-G-1,1.57,41,9.1,5.2
SRFBBB,0.201,,4.3,11.2
90YV0J42-M0NA00,1.12,,36.8,6.8
90MB1FV0-M0EAY0,1.01,,27.5,6.74
90MB1F80-M0EAYC,0.95,,27,5.15
90MB1F40-M0EAY0,0.92,,26,5.15
90MB1FU0-M0EAY0,1.61,,27.5,6.74
90MB1F50-M0EAYC,0.94,,26,5.15
38523,,10,40,
90YV0IY2-M0NA00,2.7,,53.4,8.5
VCG4060T8DFXPB1,,,32.5,17.2
90YV0IY3-M0NA00,2.7,,53.4,8.5
A620M S2H,0.907,,26.5,5.4
GV-N406TGAMING OC-8GD,,,11.7,5.3
MESHAX3000ADDUK,0.32,,12.8,7.3
R-LE520-BKAMMN-G-1,1.24,41,9.1,5.2
GV-N406TEAGLE-8GD,,,11.5,4.1
GV-N406TAERO OC-8GD,,,11.7,5
GV-N406TEAGLE OC-8GD,,,11.5,4.1
R-ASN4-BKNNMT-G,1.57,,14.4,16.4
43370,0.6,1,20.5,5.2
43371,0.6,1,20.5,5.2
RE815XE,,,10.66,34.82
LVN-CAT6A-FLEX-7.5M,0.05,7.5,27.6,3.6
LVN-CAT6A-FLEX-10M,0.05,10,27.6,3.6
JCD533,0.3,0.45,8.25,2.2
R-CH560-BKAPE4-G-1,7.5,17,23,47.1
308-39,0.25,3,16.5,21
43376,1,10,23,6.3
P036-02M-EU,0.181,2,20.3,25.4
B650 GAMING PLUS WIFI,,,24.380000000000003,
R-CC360-WHAPM3-G-1,4.9,16,21.5,43.1
R-CC360-BKAPM3-G-1,4.9,16,21.5,43.1
21.99.1336,,0.1,,
MK73S-100EUS,0.286,,12.2,6.4
GS724TP-300EUS,3.7,,44,4.3
UACC-ADAPTER-DBAC,,7,,2.3
90YV0J31-M0NB00,1.1,,30,5
90RC00L1-M0UAY0,3.31,40,42.7,13.2
90RC00L0-M0UAY0,3.31,40,42.7,13.2
90RC00K1-M0UAY0,2.66,40,30.7,13.5
90RC00K0-M0UAY0,2.66,40,30.7,13.5
H510M K V2,0.683,,26.5,5.2
B760M H DDR4,0.825,,26.5,5.4
H510M S2H V3,0.76,,26.5,5.2
H610M S2H,0.768,,26.5,5.2
AX4U32008G16A-SBKD35,,,7,1.22
B760M DS3H,1.12,,26.5,5.4
K9Q84AA,0.623,,17.7,2.2800000000000002
90MB1EX0-M0ECY0,,,21.8,
90MB1FR0-M0EAY0,1.2,,33.8,27.3
USGFLEX200H-EU0102F,,,42.7,7.3
FWA-510-EU0102F,1.5,,25,14
USGFLEX200H-EU0101F,2.43,,42.7,24.7
NWA210AX-EU0202F,1.06,,32.9,6.4
PRO H510M-B,,,20.2,
Z790 AORUS ELITE AX-W,2.32,,33.5,8
PRO A620M-E,,,21.1,
340K2AA,0.02,,23.2,1
MPG B760I EDGE WIFI,,,17,
KF552C40BWAK4-128,1.5,25.4,19.05,17.78
ABBY11B,1.8,18,23,32
MPO-12TC4MPO10,,10,,
MPO-12BO4LC2,,2,,
DECO BE85(2-PACK),,,12.8,23.6
ARCHER AIR R5,,,14.8,21
90YV0GP2-M0NA00,1.11,,36.4,6.6
GA2T36B,,38.5,7.4,6.9
GA2T24W,,38.5,7.4,6.9
GA2T36W,,38.5,7.4,6.9
GA2T24INW,,38.5,7.4,6.9
GA2T24INB,,38.5,7.4,6.9
LVN122114,13,305,23,39.5
R8Q72A#ACC,5.09,,44.25,4.39
KVR48S40BS8-16BK,,,6.959999999999999,3
FRU45N0130,,1,,
90IG06Z0-MU2C00,0.374,,Yes,
45N0422,,1,,
45N0381,,1,,
NC3MXX,,,2.04,2.04
GV-N4070WF3OC-12GD,,,12.6,5
P54697-B21,0.3,,13.8,6.8
P49653-B21,0.68,,22.23,3.66
U02442-USB-EXTENDER,1,42.5,25,36
5G16AINDS-USB-A-HUB,1.8,39,51.5,31.3
90MB1EH0-M0EAYC,,,24.4,
38511,,15,,
38510,,10,,
RF-C14SF-B1,,,Yes,
PRIME H610M-E D4-CSM,0.382,,24.4,22.1
500662-B21-RFB,,,13.330000000000002,3
90MB1F00-M0EAY0,0.8,,27.5,6.75
90MB1F10-M0EAYC,1.36,,27.5,6.75
90MB1EZ0-M0EAY0,0.85,,27.5,6.75
ARCHER VR1210V V2.0,,,21.4,8
DK-1644-300,0.92,30,28,
90MB1EK0-M0EAYC,1.14,,27,5.2
90MB1EC0-M0EAYC,,,24.4,
PRO B760M-P,,,24.380000000000003,
980-9I46G-00N002,,2,,
PRO B760M-A WIFI,,,24.380000000000003,
MAG X670E TOMAHAWK WIFI,,,24.380000000000003,
90IG0860-MO9B00,0.95,,33.5,8.1
O11DXL-W,,22,28.5,51.3
PRO H610M-E DDR4,0.76,,,6.5
UF-P28120-3W,,,12,12
PH-NV723TG_DBK01,19.4,25.5,34.5,62.8
P28ARGB-W,,,11.959999999999999,1.31
P28ARGB-B,,,11.959999999999999,1.31
PH-NV723TG_DMW01,19.4,25.5,34.5,62.8
KF560C40BWAK2-32,1.51,25.4,19.05,17.78
KF560C36BWEAK2-64,1.51,25.4,19.05,17.78
KF552C36BWEA-32,1.82,32.510000000000005,19.3,8.89
RB5009UPr+S+OUT,,,22.2,5.7
CAPGI-5HAXD2HAXD,,,22.8,4.8
CMQ2-2.7G,0.0027,,,
85040,0.1,,16.5,19
O11D MINI-X,,39.5,26.95,38
LVN6010SOUT,0.11,10,,
LVN6015SOUT,0.12,15,,
SPOM-MA1MCL1.21,,75,,75
DN-43000,118,,82.5,207.26
DN-43001,124,,82.5,207.26
UE332C-AT-E,1.84,20,,
UE331C-AT-E,1.07,10,,
VE7835A-AT,17.5,39.5,34,36
GV-N3060WF2OC-12GD V2,,,12.1,3.9
VE7833A-AT,12,47,38.5,26.5
R-LT720-WHAMNF-G-1,1.86,41,9.4,8
R-LT520-WHAMNF-G-1,1.54,41,9.4,8
NX510v,,,9.9,19.2
SCR50AXE-EU0101F,1.72,,23.8,15.1
A520M K V2,0.675,,26.5,5.2
SRF8YB,0.201,,4.3,11.2
SRFPLB,0.201,,4.3,11.2
SRF91B,0.201,,4.3,11.2
SRG25B,,,4.3,11.2
90YV0GH8-M0NA00,,,12.8,4
90YV0GH6-M0NA00,0.837,,30.3,5.5
DECO X50-5G(1-PACK),,,13,21.05
HX220(1-PACK),,,10,8.95
14212,0.556,,8.2,4.1
ER707-M2,1.1,,24.2,7.3
4XC1L37930,0.08,,13.2,3.6
DN-45000-KEY,0.013,,6.5,0.1
DN-949103,,,12.2,25.6
XMG1930-30HP-ZZ0101F,4.85,,44.1,4.4
CS-HYTE-Y60-WW,11.3,23.5,37.2,54
ZF120 2in1,,,12,2.5
ZF120 3in1,,,12,2.5
90MB18F0-M0EAYC,0.91,,27,5.15
90IG07C0-MU0C10,0.19,,7.2,15
HDMIM8K1-25,,1,,
HDMIM8K-10,,10,,
L2W58EA,3.27,,50.8,30.5
4SC19AA,0.32,,1.5,2.2
11R8002QUK-16GB-512GB,5.3,,10,34
UACC-READER-PRO-JB-B,0.18,,7.779999999999999,20.54
UACC-READER-JB-B,0.22,,8.8,14.5
UACC-READER-PRO-AM-B,0.043,,4.04,16
UACC-READER-JB-W,0.22,,8.8,14.5
P2425HE,7.24,1.8,53.86,31.419999999999998
90MV00NUUK,3.55,,10,27
492-BCNW,,1,,
42T4702,,,20.669999999999998,2.06
VFY:R2547SC540IN,32,,48.22,8.690000000000001
HP246PJB,9.2,1.5,63,43.8
CR1100FKABP0745,1.42,,29.46,2.07
B5ST-301,,1,,
A3YT2ET#ABU,2.12,,55.2,34.5
A3YS9ET#ABU,2.12,,55.2,34.5
A3YS6ET#ABU,2.12,,55.2,34.5
996Y2ET#ABU,7.2,,51.8,49
996Y3ET#ABU,5.9,,10,30.8
996Y7ET#ABU,7.2,,51.8,49
996M4ET#ABU,5,,10,30.8
996X8ET#ABU,4.8,,49.9,29.8
8T1R4EA#ABU,7.2,,51.8,49
55037551,0.034,,2.13,3.1399999999999997
CUBI NUC 1M I7 150U FS 16GB 1TB W11P,0.00145,,20.5,9.4
CUBI NUC 1M I3 100U FS 8GB 512GB W11P,0.00145,,20.5,9.4
CUBI NUC 1M I5 120U FS 8GB 512GB W11P,0.00145,,20.5,9.4
CUBI NUC 1M I5 120U BB,0.000625,,20.5,9.4
CUBI NUC 1M I3 100U BB,0.000625,,20.5,9.4
6N4D6AA#ABU,8.4,,71.4,42.12
W2170OV5N,0.0665,,4.71,
2008616,,90,33,
OLED65B42LA.AEK,17.1,,105.7,95
OLED55B42LA.AEK,14.3,,105.7,81
9S6-3DC84T-008,9.7,,70.14,57.92
5AI-00027,1.27,,30.8,1.45
R1S-00064,1.27,,30.8,1.45
6PA50A4,6.86,,53.94,32.33
T2N0F,4.72,,9.26,29
R4XDN,1.33,,31.3,1.82
N41K5,1.81,,35.9,2.04
MX22G,1.33,,31.3,1.82
HR1HM,1.33,,31.3,1.82
6WW4J,4.72,,9.26,29
6C7RM,4.72,,9.26,29
3VM7K,1.4,,32.14,2.1
2008626,,90,33,
HE1-G01,,,10.8,0.8
9G178ET#ABU,,,6.9,34.5
9G175ET#ABU,1.41,,6.9,30.5
9G181ET#ABU,1.38,,31.389999999999997,1.47
9G177ET#ABU,1.41,,6.9,30.5
9G176ET#ABU,1.41,,6.9,30.5
9G180ET#ABU,1.18,,31.389999999999997,1.49
9G179ET#ABU,1.41,,6.9,30.5
7J087AA,1.74,,6.9,30.5
64L88EA,3.4,,49.8,13.2
5W626EA,3.4,,49.8,13.2
1746630P7,1.68,71,126,880
SJCGQ11LM,,,5,1.5
SSM-U02,0.05,,4.29,2.1399999999999997
WXKG11LM,,,4.5,4.5
DS-55337,0.31,0.75,12.3,4.5
90YM00K0-B0EA00,0.482,,16.8,6.1
K7C09AT,7.66,,61.42999999999999,36.410000000000004
WFS-S,5.27,57.15,24.380000000000003,16.509999999999998
THZ984GL,0.445,,20.6,2.2
THZ985GL,0.32,,20.3,25.5
THZ982GL,0.45,,23.2,28.7
THZ987GL,0.4036,,25.45,19.45
21N10007UK,1.24,,31.360000000000003,1.69
UH3235-AT,1.64,0.5,26.2,20.3
ICFC1W.CEK,0.48,,10.1,10.2
ICFC1B.CEK,0.52,,10.1,10.2
3201265,0.453,,,
VA24DQFR,5.36,,53.970000000000006,32.36
RX7C3,,,17.3,37.29
P3G15AA,0.3,,3.34,2.06
MWR93NF/A,0.76,,26.45,3.3299999999999996
MVY03NF/A,0.96,,29.55,3.15
MVW13NF/A,0.76,,26.45,3.3299999999999996
MV6Q3NF/A,0.998,,22.8,3.4
MV723NF/A,0.998,,22.8,3.4
MVXY3NF/A,0.96,,29.55,3.15
MVXT3NF/A,0.96,,29.55,3.15
MVW33NF/A,0.76,,26.45,3.3299999999999996
MVVD3NF/A,0.76,,26.45,3.3299999999999996
MVXR3NF/A,0.96,,29.55,3.15
MVW73NF/A,0.76,,26.45,3.3299999999999996
MVW43NF/A,0.76,,26.45,3.3299999999999996
MVXX3NF/A,0.96,,29.55,3.15
MVX63NF/A,0.96,,29.55,3.15
MVV83NF/A,0.76,,26.45,3.3299999999999996
MVW23NF/A,0.76,,26.45,3.3299999999999996
MVV93NF/A,0.76,,26.45,3.3299999999999996
MV2K3NF/A,0.998,,22.8,3.4
MV703NF/A,0.998,,22.8,3.4
MUXU3NF/A,0.75,,19.1,3.3
MUXR3NF/A,0.75,,19.1,3.3
MV6X3NF/A,0.998,,22.8,3.4
MV6V3NF/A,0.998,,22.8,3.4
MV6R3NF/A,0.998,,22.8,3.4
MV2J3NF/A,0.998,,22.8,3.4
MV2H3NF/A,0.998,,22.8,3.4
MV2L3NF/A,0.998,,22.8,3.4
MUWM3NF/A,0.75,,19.1,3.3
MUXV3NF/A,0.75,,19.1,3.3
MUWK3NF/A,0.75,,19.1,3.3
MUXG3NF/A,0.75,,19.1,3.3
MUXT3NF/A,0.75,,19.1,3.3
MUWL3NF/A,0.75,,19.1,3.3
MUWN3NF/A,0.75,,19.1,3.3
MUWH3NF/A,0.75,,19.1,3.3
MUWP3NF/A,0.75,,19.1,3.3
MUWQ3NF/A,0.75,,19.1,3.3
MUWF3NF/A,0.75,,19.1,3.3
MUXD3NF/A,0.75,,19.1,3.3
CUBI N ADL N200 FS 4GB 128GB W11P,1.39,,20.5,9.4
4Q8N4AA#ABU,4.8,,53.839999999999996,31.369999999999997
3S8R4EA,2.08,,40.07,1.9899999999999998
CTP-R01,0.076,,4.5,4.5
CH-30-01,1.1,,7.2,9
X8C56,1.79,,35.78,2.47
WX2MV,1.49,,31.060000000000002,1.9
WM34N,2.03,,35.37,2.22
UK7004202,0.162,,10.4,10
UK7000396,0.75,,10.5,10.5
UK7002505D,0.752,5.5,27,17.6
UK7000419,0.75,,10.5,10.5
UK7001720,0.543,3,8.8,13.7
UK7000839,0.072,,,12
TNGPX,1.5,,32.22,1.93
T7RCD,1.79,,35.78,2.47
T3030EX,0.2437,,8.4,3.2
S3000BWGB,0.379,,13.5,13.5
QY776AA#ABF,0.82,1.8,16.43,2.55
PE0316SG,2.77,106.1,14.5,16.6
OLED77G45LW.AEK,37.4,,50.1,113
OLED65G46LS.AEK,23.8,,48.5,97
OLED55G45LW.AEK,17.9,,48.5,81
OLED55C46LA.AEK,14.1,,47,81
OLED65C46LA.AEK,16.6,,47,95
OLED55B46LA.AEK,14.3,,105.7,81
OLED83C44LA.AEK,32.3,,119.9,121
OLED77B46LA.AEK,22.9,,140.3,113
OLED65G45LW.AEK,23.8,,48.5,97
OLED77C46LA.AEK,23.5,,52,113
NVFFV,1.62,,35.78,2.28
M96KV,1.5,,32.22,1.93
JV6Y1,1.4,,32.14,2.1
JFHJW,1.62,,35.78,2.28
IT7001409,0.072,,6,12
IT7001393,0.116,,6,12
IT7001874,0.212,,10,10.4
HKHPY,2.03,,35.37,2.22
HF001235-GB,0.408,,81.6,94.4
G3H43,1.49,,31.060000000000002,1.9
F5GTT,1.83,,35.8,1.95
DVT1160/00,0.046,,,
DN-93616,,,1.8,2
C9N0F,0.989,,29.9,1.76
C9PTN,1.81,,35.9,2.04
B0BLS36M5R,1.03,1.5,20,13.9
B01NAXS22M,0.15,,5.6,9.620000000000001
B01J90O57K,0.295,,19.2,11.5
B0BLS4NFP3,1.03,1.5,20,13.9
90LA00K0-B01170,,,,Manual
8Y2F7E9#ABU,7.8,,51.7,52.14
8X534E9#ABU,7.4,,53.17,34.29
8P00000179,,1.2,,
8P00000177,,1.2,,
8J4D8E9#ABU,6.2,,61.339999999999996,35.4
8P00000180,,1.2,,
8P00000178,,1.2,,
8J9E6E9#ABU,7,,61.339999999999996,35.4
852033,0.159,,8.4,8.3
84FY1,1.79,,35.78,2.47
84YVK,1.62,,35.78,2.28
7H1JM,1.15,,29.9,1.77
6H3FW,1.15,,29.9,1.77
65UT91006LA.AEK,23.6,,34,97
5PKSMARTPLUG,0.142,,5.4,10
5G2A1SGBB-USB-C-HUB,0.11,32.5,60.5,38.5
5F115EA,7.2,,51.8,49
55UT91006LA.AEK,15,,50,81
55WK2,1.23,,30.57,1.84
55020CEG,,,3.63,
55020CJH,,,3.63,
55020CGE,,,3.63,
55020CEF,,,3.63,
55020CEC,,,3.63,
50UT91006LA.AEK,13,,50,81
50QNED80T6A.AEK,13,,94.1,77.5
4PKSMARTPLUG,0.142,,5.4,10
450-18919,0.17,0.9,5.5,8.7
43QNED80T6A.AEK,9.3,,84.5,66
3W3PW,2.03,,35.37,2.22
3PKSMARTPLUG,0.142,,5.4,10
3HXWJ,1.79,,35.78,2.47
2008615,,90,33,
2008634,,90,33,
2008633,,90,33,
2008632,,90,33,
19NM6,1.23,,30.57,1.84
05D4V,1.83,,35.8,1.95
02859-001,0.075,2.8,,
B024-DPU16,5.11,32.8,51.5,15.5
S01,3.4,,49.47,39.37
GN01,5.81,,61.35,47.22
GN02,5.81,,61.35,47.22
2C9P3EA,1.35,,32.3,1.7899999999999998
XG8T.DGBRLLK,4.9,,44.2,26.2
XG2TBK.CEUSLLK,0.4,,12.35,6.5
UVC30 DESKTOP,,1.6,15.1,9.5
UE43DU7100KXXU,7.1,,108.1,66.5
UE85DU7100KXXU,32.5,,36.7,123.3
QE98QN90DATXXU,61.4,,47.9,142
QE75QN90DATXXU,34.1,,188.4,111.8
QE75Q60DAUXXU,31.4,,183.4,111
QE85QN900DTXXU,42.7,,209,126
QE55QN95DATXXU,17.8,,144.8,82.2
QE75QN800DTXXU,31.9,,184.4,112.4
QE85Q60DAUXXU,41.5,,111.9,123.7
QE75QN95DATXXU,32.5,,190.4,111.8
QE43QN90DATXXU,9.4,,116.4,66.7
QE85QN90DATXXU,43.5,,214.1,124.5
QE65QN90DATXXU,24.2,,162.2,93.5
QE55QN90DATXXU,17.7,,144.8,82.6
DL30,7.12,3.9,26,38.7
BH72 LITE TEAMS BLACK USB-A,3.9,,19.4,5.3
920-011635,0.81,,,
920-013016,0.222,,,
43UT91006LA.AEK,9.3,,50,66
1302022,0.112,,18.1,9
1301043,,,21.3,10.3
UE55DU8000KXXU,15.5,,139.9,84.6
UE85DU8000KXXU,41.5,,113,123.7
UE75DU7100KXXU,25.3,,124.4,111
UE75DU8000KXXU,20.9,,183.4,111
QE55S95DATXXU,13.8,,143.2,81.8
QE50Q80DATXXU,13.6,,50.9,76.1
QE75Q80DATXXU,32.7,,42,112
QE43LS03DAUXXU,8.6,,108.7,67.7
QE85Q80DATXXU,41.3,,42,123.5
QE85LS03DAUXXU,44.5,,208.7,124.9
QE75LS03DAUXXU,35.3,,183.9,111.3
QE65LS03DAUXXU,22.4,,161.4,95
PRO MP251,4.4,,63,12.5
OPTIX G271CQP,8.3,,79,49.3
GA02278-GB,,10,,
G5 KF5-53UK353SH,4.52,,10,33.9
FZ-55A-05AT4,2.08,,34.5,3.28
FO27Q3 EK,11.3,,61.029999999999994,35.64
9S6-3DD41M-012,8.5,,80,51.4
8J9G2AA#ABU,6.5,,61.339999999999996,35.4
61S9340000AF,4.99,4.5,29.2,30.3
286945912,0.187,,7.5,16.32
286947218,0.187,,7.5,16.32
286946245,0.196,,7.5,16.32
286945909,0.187,,7.5,16.32
286946237,0.196,,7.5,16.32
286946224,0.196,,7.5,16.32
286948335,0.187,,7.5,16.32
2469A-PRIVACY-SCREEN,1,41.9,63.2,44
210-AZZE,14.9,,80.78999999999999,36.64
1GF026GPA2L02,,,5.42,12.72
1GF025FPG2L02,0.0901,,5.1,12.47
P100(2-PACK),0.23,,8.5,7.5
H6Y88AAR,0.201,,9.6,2.2399999999999998
FI32Q,15.2,,71.76,42.43
B2177EU2N,0.028,23.3,2.44,
937W2EA#ABU,6,,19.6,34.6
784Q9AA,0.7,,12.2,4.5
6N4F1AA#ABU,5.82,,53.94,32.260000000000005
63F4MAT1UK,8.4,1.8,55.73,32.85
622Y0ET#ABU,2.95,,49.8,23.5
50U19AA#ABU,9,,71.35,41.589999999999996
30HA004NUK,3.6,,8.7,20.2
30GS009QUK,13.6,,18,41.5
2Y2J9EA,1.74,,35.94,1.9899999999999998
21LU0025UK,1.17,,30.169999999999998,1.59
21LU0027UK,1.17,,30.169999999999998,1.59
21MN004AUK,1.66,,35.97,1.9600000000000002
21LS002UUK,1.24,,31.360000000000003,1.69
21L1003GUK,,,31.369999999999997,
21MN004YUK,1.66,,35.97,1.9600000000000002
21LW001EUK,1.25,,30.169999999999998,1.64
21LM001SUK,1.32,,30.5,1.7100000000000002
21LB0012UK,1.23,,30.5,1.72
21LB0018UK,1.23,,30.5,1.72
21ML0037UK,1.38,,31.589999999999996,1.77
21LS0029UK,1.24,,31.360000000000003,1.69
21LW000MUK,1.25,,30.169999999999998,1.64
21KE0038UK,1.35,,31.28,1.55
21ML002QUK,1.38,,31.589999999999996,1.77
21KC005RUK,1.08,,31.28,1.5
21KC005LUK,1.08,,31.28,1.5
21FA004SUK,2.95,,36.4,3.02
210-AZZD,4.24,1.8,60.839999999999996,36.410000000000004
210-AYLV,12.6,1.8,61.23,42.54
210-AXKZ,14.9,,80.82000000000001,36.45
18H24AA#ABU,0.84,,45.6,4.4
16812560,0.041,1.6199999999999999,4.2299999999999995,4.4399999999999995
16812572,0.041,1.6199999999999999,4.2299999999999995,4.4399999999999995
PW.1.21005.0003,70,,69,92
FZ-G2EZ00GBE,1.19,,27.9,18.8
FZ-G2EZ002BE,1.19,,27.9,18.8
BR1100FC41XAS3Y,1.4,,29.46,2
BR1100CC41XAS3Y,1.26,,29.46,2
9S7-182272-278,3.6,,40.4,3.2
8MB11AT,6.84,,61.42,36.79
54FHD,1.27,,30.330000000000002,2.08
N019L319011EMEA,1.27,,30.330000000000002,2.08
6NV55PA,1.27,,30.6,1.81
3ML20AA,2.5,,49.86,30.139999999999997
N3C01AT,6.23,,56.220000000000006,37.739999999999995
M1P04AT,3.8,,64.32000000000001,39.25
CN9850-AT-E,1.69,,9.8,21
BR1100F-CS41XAS-3Y,1.4,,29.46,2
B5404CM-Q6U731X,1.59,,31.369999999999997,1.9
B5404CM-Q5U715X,1.46,,31.369999999999997,1.9
B5604CMA-QVU715X,1.95,,35.8,2.29
B1502CV-BQI731X,1.69,,36.160000000000004,1.9899999999999998
9G0S6ET#ABU,1.31,,6.9,30.5
81MB001GMB,1.31,,29,2.04
38389,0.579,,22,13
38387,0.54,,15.2,13.3
XG27ACS-W,10.1,,64.17999999999999,36.71
XG27WCS,9.7,,61.1,37
MB166CR,1.7,,36.010000000000005,22.56
A10600063,0.0396,,2.17,3.09
A10600062,0.0519,,2.17,2.94
A10600061,0.0519,,2.17,2.94
A10600064,0.0396,,2.17,3.09
90MP03N0-BMUA10,0.054,2,6.7,4.2
90MP03N0-BMUA00,0.054,2,6.7,4.2
55037342,0.0445,,2.2,2.67
2LX92AA#ABB,0.12,,19.8,5.4
90YH03Y0-BTUA10,0.236,,10.2,5.6
8X530E9#ABU,7,,53.839999999999996,31.369999999999997
VB350,7.4,,19.7,26
FP2159JI14XX,1.52,,31.4,2.5
CEILMOUNT.CAM550,5.34,,27.6,62.4
CAM570,10.9,3.4,27.5,52.5
90YH03Y0-BTUA00,0.236,,10.2,5.6
WS-EUK01,,,8.6,8.58
SM-P620NZAAEUE,0.465,,15.430000000000001,24.45
99A31ET#ABU,7.92,,39.9,22.8
99A20ET#ABU,15.1,,74.2,64
6L2Y7EA#ABU,6.2,,49.9,34.6
622Y3ET#ABU,2.95,,49.8,23.5
622Y1ET#ABU,2.95,,49.8,23.5
K7B99AT,5.78,,53.379999999999995,35.11
9VF99A9,5.7,,53.94,32.33
8MB10AT,5.59,,54.06,32.25
75V6BK,28.02,,128.8,112.5
65V6BK,18,,127.5,100
58V6BK,15.28,,110.2,88.3
55V6BK,12.7,,105,83
50V6BK,10.56,,96.1,77.5
4CF02AA#ABD,0.84,,1.8699999999999999,41
43V6BK,7.78,,83.9,64.6
2UK37AA,0.8,,9.8,6.9
9S6-3CC29H-400,7.85,,61.35,36.25
9S6-3CD89T-015,10.3,,60.9,36.2
9S6-3CC29H-280,8.8,,61.35,36.25
939-001116,0.242,,21.05,14.65
XUB2497HSU-B1,,,68.5,40.5
XUB2797QSU-B1,,,67.9,42.7
AERO 16 OLED BSF-H3UK954SH,4.19,,7.4,40.3
